Track,Artist,Album,Year,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity
21st Century (Digital Boy),Bad Religion,Against The Grain, 1988,169013,4,0.447,0.979,5,-3.742,1,0.0565,0.0000671,0,0.316,0.633,133.685,55
American Jesus,Bad Religion,Recipe For Hate, 1993,197666,4,0.404,0.985,0,-4.173,1,0.0491,0.00238,0,0.192,0.697,181.406,59
I Want to Conquer the World,Bad Religion,No Control, 1989,137840,4,0.331,0.99,9,-3.27,1,0.146,0.0037,0,0.118,0.527,155.687,52
Infected,Bad Religion,Stranger Than Fiction, 1990,247600,4,0.49,0.845,9,-8.746,0,0.0344,0.00714,0.0000103,0.0937,0.655,121.575,52
Los Angeles Is Burning,Bad Religion,The Empire Strikes First, 2004,203733,4,0.417,0.963,0,-3.302,1,0.0403,0.000305,0.000131,0.148,0.644,163.148,52
No Control,Bad Religion,No Control, 1989,106693,4,0.459,0.966,11,-3.678,0,0.0924,0.0207,0,0.215,0.729,147.624,50
Punk Rock Song,Bad Religion,The Gray Race, 1990,147173,4,0.318,0.984,1,-4.673,0,0.0806,0.000215,0.000244,0.386,0.716,177.229,54
Sorrow,Bad Religion,The Process Of Belief, 2001,201293,4,0.514,0.911,7,-4.595,1,0.0528,0.00191,0.00000478,0.0736,0.848,139.971,52
Stranger Than Fiction,Bad Religion,Stranger Than Fiction, 1994,140306,4,0.349,0.972,11,-7.298,1,0.0469,0.0726,0.0000726,0.336,0.791,165.604,42
You,Bad Religion,"Punk-O-Rama, Vol. 3", 1996,124306,4,0.301,0.994,0,-5.758,1,0.0706,0.00019,0,0.214,0.385,155.634,16
Brass Monkey,Beastie Boys,Licensed To Ill, 1986,157440,4,0.914,0.586,6,-8.435,0,0.33,0.00203,0.00000158,0.0992,0.655,116.371,66
Ch-Check It Out,Beastie Boys,To The 5 Boroughs, 2004,192426,4,0.795,0.899,1,-7.02,1,0.292,0.0766,0,0.0852,0.694,115.062,52
Fight For Your Right,Beastie Boys,Licensed To Ill, 1986,208653,5,0.503,0.858,8,-6.296,1,0.0657,0.00757,0.00234,0.0803,0.419,133.615,69
Intergalactic,Beastie Boys,Solid Gold Hits, 1998,210106,4,0.731,0.881,2,-6.504,1,0.281,0.0105,0.0000631,0.0628,0.361,105.971,52
No Sleep Till Brooklyn,Beastie Boys,Licensed To Ill, 1986,246933,4,0.712,0.691,8,-8.157,1,0.128,0.122,0,0.0538,0.742,97.022,70
Paul Revere,Beastie Boys,Licensed To Ill, 1986,220840,4,0.883,0.553,6,-13.232,0,0.944,0.0161,0,0.228,0.578,91.753,57
Root Down,Beastie Boys,Ill Communication, 1995,212093,4,0.838,0.921,0,-7.588,1,0.0868,0.319,0.00000327,0.399,0.887,100.003,52
Sabotage,Beastie Boys,Ill Communication, 1994,178440,4,0.324,0.938,6,-7.332,0,0.102,0.032,0.0321,0.0961,0.543,168.131,74
So What'Cha Want,Beastie Boys,Anthology: The Sounds Of Science, 1992,217066,4,0.695,0.978,5,-3.556,0,0.274,0.0764,0.0000312,0.069,0.706,171.093,58
Sure Shot,Beastie Boys,Ill Communication, 1994,199666,4,0.692,0.799,1,-7.924,1,0.164,0.388,0,0.301,0.549,97.978,58
Anti-Pleasure Dissertation,Bikini Kill,The Singles, 1997,149066,4,0.337,0.985,2,-2.36,1,0.0848,0.00323,0.0484,0.122,0.322,136.009,33
Double Dare Ya,Bikini Kill,The First Two Records, 1993,160860,4,0.335,0.855,4,-6.762,1,0.0701,0.000298,0.00173,0.483,0.559,186.528,46
Feels Blind,Bikini Kill,Kill Rock Stars, 1993,216000,1,0.346,0.861,8,-6.893,1,0.0293,0.000044,0.0041,0.085,0.886,108.728,37
I Like Fucking,Bikini Kill,The Singles, 1993,136266,4,0.364,0.991,9,-3.44,1,0.12,0.0332,0.117,0.212,0.502,139.048,39
Liar,Bikini Kill,The First Two Records, 1995,156030,4,0.46,0.918,0,-5.787,1,0.0374,0.00236,0.186,0.065,0.559,136.481,29
New Radio,Bikini Kill,The Singles, 1993,93493,4,0.368,0.981,3,-3.052,1,0.123,0.0104,0.00317,0.262,0.281,142.479,46
Rebel Girl,Bikini Kill,The Punk Singer (Original Motion Picture Soundtrack), 1993,157333,4,0.435,0.939,8,-3.845,0,0.111,0.0122,0.00466,0.0614,0.559,134.938,57
Suck My Left One,Bikini Kill,The First Two Records, 1993,144326,4,0.279,0.889,0,-6.495,1,0.0459,0.0000518,0.294,0.414,0.495,184.177,38
White Boy,Bikini Kill,The First Two Records, 1993,146000,4,0.494,0.897,4,-7.753,1,0.0607,0.00124,0.0168,0.215,0.703,129.805,41
Black Coffee,Black Flag,Slip It In, 1984,295800,4,0.287,0.886,11,-10.937,0,0.0691,0.161,0.0175,0.347,0.279,163.245,39
Damaged II,Black Flag,Damaged, 1981,203040,4,0.267,0.924,0,-14.037,1,0.0866,0.212,0.976,0.392,0.072,97.684,28
Depression,Black Flag,Damaged, 1981,148866,4,0.147,0.958,1,-13.427,1,0.107,0.0957,0.972,0.893,0.0368,137.829,33
Gimmie Gimmie Gimmie,Black Flag,Damaged, 1981,107133,4,0.568,0.604,1,-13.473,1,0.234,0.0528,0.196,0.292,0.416,99.071,38
My War,Black Flag,My War, 1984,226333,1,0.215,0.503,1,-16.318,0,0.0463,0.65,0.0283,0.098,0.35,186.866,47
Nervous Breakdown,Black Flag,Nervous Breakdown, 1979,129173,4,0.401,0.907,11,-11.422,0,0.0679,0.524,0,0.48,0.317,90.302,49
Police Story,Black Flag,Damaged, 1982,92626,4,0.285,0.914,5,-13.901,1,0.109,0.106,0.353,0.961,0.144,110.078,34
Rise Above,Black Flag,Damaged, 1981,146560,4,0.374,0.816,2,-13.88,1,0.0578,0.119,0.00000801,0.0808,0.138,104.56,52
Six Pack,Black Flag,Damaged, 1982,140493,4,0.33,0.784,2,-15.285,1,0.19,0.157,0.0000208,0.58,0.196,115.402,47
TV Party,Black Flag,Damaged, 1982,211200,4,0.308,0.926,1,-12.683,1,0.15,0.184,0,0.0782,0.193,96.17,44
Adam's Song,blink-182,Enema Of The State, 1999,249626,4,0.52,0.775,0,-5.803,1,0.0348,0.034,0,0.364,0.383,136.02,73
All The Small Things,blink-182,Enema Of The State, 1999,167066,4,0.434,0.897,0,-4.918,1,0.0488,0.0103,0,0.612,0.685,148.708,83
