Title,Average Rating,Director,Metascore
Sherpa,7.6,Jennifer Peedom,93.0
It Might Get Loud,7.6,Davis Guggenheim,70.0
The Song Remains the Same,7.6,"Peter Clifton, Joe Massot",46.0
Il y a longtemps que je t'aime,7.6,Philippe Claudel,79.0
Aferim!,7.6,Radu Jude,84.0
Mr. Skeffington,7.6,Vincent Sherman,
Wolyn,7.6,Wojciech Smarzowski,
Zatôichi monogatari,7.6,Kenji Misumi,
The Passion of Anna,7.6,Ingmar Bergman,
Lacombe Lucien,7.6,Louis Malle,
Brother 2,7.6,Aleksey Balabanov,
Spellbound,7.6,Jeffrey Blitz,80.0
Tanu Weds Manu Returns,7.6,Aanand L. Rai,
Dogtown and Z-Boys,7.6,Stacy Peralta,76.0
Maghzhaye Koochake Zang Zadeh,7.6,Houman Seyyedi,
Mahaan,7.6,Karthik Subbaraj,
Salesman,7.6,"Albert Maysles, David Maysles, Charlotte Zwerin",80.0
Pyaar Ka Punchnama,7.6,Luv Ranjan,
Brides,7.6,Pantelis Voulgaris,
Ayan,7.6,K.V. Anand,
Rahasya,7.6,Manish Gupta,
Mon oncle d'Amérique,7.6,Alain Resnais,
Bheja Fry,7.6,Sagar Ballary,
Earth,7.6,Deepa Mehta,71.0
Train de vie,7.6,Radu Mihaileanu,62.0
The Invisible War,7.6,Kirby Dick,75.0
Shahr-e ziba,7.6,Asghar Farhadi,69.0
Kedi,7.6,Ceyda Torun,78.0
Casque d'or,7.6,Jacques Becker,
Le château de ma mère,7.6,Yves Robert,
Hail the Conquering Hero,7.6,Preston Sturges,
Boys State,7.6,"Amanda McBaine, Jesse Moss",84.0
Bogowie,7.6,Lukasz Palkowski,
Life in a Day,7.6,"Tegan Bukowski, Loressa Clisby, Kevin Macdonald",58.0
The Gatekeepers,7.6,Dror Moreh,91.0
Neveroyatnye priklyucheniya italyantsev v Rossii,7.6,"Francesco Prosperi, Eldar Ryazanov",
Somersault in a Coffin,7.6,Dervis Zaim,
O Homem que Copiava,7.6,Jorge Furtado,49.0
Kabhi Haan Kabhi Naa,7.6,Kundan Shah,
Sarkar,7.6,Ram Gopal Varma,
The Filth and the Fury,7.6,Julien Temple,82.0
Ante Sundharaniki,7.6,Vivek Athreya,
Chlopaki nie placza,7.6,Olaf Lubaszenko,
Psy,7.6,Wladyslaw Pasikowski,
Best of Enemies,7.6,"Robert Gordon, Morgan Neville",77.0
Nostalgia de la luz,7.6,Patricio Guzmán,91.0
Karaula,7.6,Rajko Grlic,
State of Siege: Temple Attack,7.6,Ken Ghosh,
Müslüm,7.6,"Ketche, Can Ulkay",
Non ci resta che piangere,7.6,"Roberto Benigni, Massimo Troisi",
The Pervert's Guide to Ideology,7.6,Sophie Fiennes,71.0
"What Happened, Miss Simone?",7.6,Liz Garbus,75.0
Metro Manila,7.6,Sean Ellis,65.0
Something Useful,7.6,Pelin Esmer,
Detective Byomkesh Bakshy!,7.6,Dibakar Banerjee,
Lisbela e o Prisioneiro,7.6,Guel Arraes,
Maurice Richard,7.6,Charles Binamé,
When You're Strange,7.6,Tom DiCillo,55.0
Madaari,7.6,Nishikant Kamat,
Avicii: True Stories,7.6,Levan Tsikurishvili,
Kannum Kannum Kollaiyadithaal,7.6,Desingh Periyasamy,
Court,7.6,Chaitanya Tamhane,83.0
Raja Rani,7.6,Atlee,
Awe!,7.6,Prasanth Varma,
The Fear of 13,7.6,David Sington,
Beyond the Mat,7.6,Barry W. Blaustein,73.0
Indie Game: The Movie,7.6,"Lisanne Pajot, James Swirsky",73.0
Parmanu: The Story of Pokhran,7.6,Abhishek Sharma,
Badkonake sefid,7.6,Jafar Panahi,
Homecoming: A Film by Beyoncé,7.6,"Beyoncé, Ed Burke",
The Criminal Life of Archibaldo De La Cruz,7.6,Luis Buñuel,
Pokkiri,7.6,Prabhu Deva,
More Than a Game,7.6,Kristopher Belman,59.0
Side by Side,7.6,Christopher Kenneally,82.0
U2: Rattle and Hum,7.6,Phil Joanou,
Aamir,7.6,Raj Kumar Gupta,
Weiner,7.6,"Josh Kriegman, Elyse Steinberg",84.0
Vitus,7.6,Fredi M. Murer,63.0
Bhavesh Joshi Superhero,7.6,Vikramaditya Motwane,
Musíme si pomáhat,7.6,Jan Hrebejk,69.0
Irudhi Suttru,7.6,Sudha Kongara,
Kirschblüten - Hanami,7.6,Doris Dörrie,62.0
CU Soon,7.6,Mahesh Narayanan,
Sing Lek Lek Tee Reak Wa Rak,7.6,"Puttipong Pormsaka Na-Sakonnakorn, Wasin Pokpong, Puttipong Promsaka Na Sakolnakorn",
Irumbu Thirai,7.6,P.S. Mithran,
Chatrapathi,7.6,S.S. Rajamouli,
How to Make Money Selling Drugs,7.6,Matthew Cooke,69.0
Red Army,7.6,Gabe Polsky,83.0
GasLand,7.6,Josh Fox,
Yazi Tura,7.6,Ugur Yücel,
Sipahi,7.6,Amit Bhadana,
Shut Up & Sing,7.6,"Barbara Kopple, Cecilia Peck",77.0
La jaula de oro,7.6,Diego Quemada-Diez,74.0
Sita Sings the Blues,7.6,Nina Paley,93.0
Vor,7.6,Pavel Chukhray,
Who Killed the Electric Car?,7.6,Chris Paine,70.0
Khaleja,7.6,Trivikram Srinivas,
Kekexili,7.6,Chuan Lu,77.0
Free to Play,7.6,Valve,
Welkkeom tu Dongmakgol,7.6,Kwang-Hyun Park,
Tong Pak Foo dim Chau Heung,7.6,Lik-Chi Lee,
Being Elmo: A Puppeteer's Journey,7.6,"Constance Marks, Philip Shane",71.0
Yedi Bela Hüsnü,7.6,Natuk Baytan,
National Lampoon's Christmas Vacation,7.5,Jeremiah S. Chechik,49.0
Furiosa: A Mad Max Saga,7.5,George Miller,79.0
Beetlejuice,7.5,Tim Burton,71.0
Eyes Wide Shut,7.5,Stanley Kubrick,69.0
A Man Called Otto,7.5,Marc Forster,51.0
Little Children,7.5,Todd Field,75.0
The Greatest Showman,7.5,Michael Gracey,48.0
Harry Potter and the Order of the Phoenix,7.5,David Yates,71.0
Avatar: The Way of Water,7.5,James Cameron,67.0
The Devil's Advocate,7.5,Taylor Hackford,60.0
Les Misérables,7.5,Tom Hooper,63.0
Trading Places,7.5,John Landis,69.0
28 Days Later...,7.5,Danny Boyle,73.0
The Crow,7.5,Alex Proyas,72.0
The Conjuring,7.5,James Wan,68.0
The Town,7.5,Ben Affleck,74.0
A Quiet Place,7.5,John Krasinski,82.0
Baby Driver,7.5,Edgar Wright,86.0
Batman,7.5,Tim Burton,69.0
The Covenant,7.5,Guy Ritchie,63.0
Dinner in America,7.5,Adam Rehmeier,80.0
Lo Imposible,7.5,J.A. Bayona,73.0
Promising Young Woman,7.5,Emerald Fennell,72.0
Interview with the Vampire: The Vampire Chronicles,7.5,Neil Jordan,62.0
Sleepers,7.5,Barry Levinson,49.0
The Hunger Games: Catching Fire,7.5,Francis Lawrence,76.0
Master and Commander: The Far Side of the World,7.5,Peter Weir,81.0
American Fiction,7.5,Cord Jefferson,81.0
Collateral,7.5,Michael Mann,71.0
One Life,7.5,James Hawes,69.0
Spider-Man 2,7.5,Sam Raimi,83.0
Gangs of New York,7.5,Martin Scorsese,72.0
Total Recall,7.5,Paul Verhoeven,60.0
The Abyss,7.5,James Cameron,62.0
The Fabelmans,7.5,Steven Spielberg,85.0
Jackie Brown,7.5,Quentin Tarantino,62.0
An American Werewolf in London,7.5,John Landis,55.0
The Warriors,7.5,Walter Hill,65.0
Ice Age,7.5,"Chris Wedge, Carlos Saldanha",61.0
Indiana Jones and the Temple of Doom,7.5,Steven Spielberg,57.0
Contact,7.5,Robert Zemeckis,62.0
La Pianiste,7.5,Michael Haneke,79.0
Doctor Strange,7.5,Scott Derrickson,72.0
We Need to Talk About Kevin,7.5,Lynne Ramsay,68.0
Legends of the Fall,7.5,Edward Zwick,45.0
Sideways,7.5,Alexander Payne,94.0
Richard Jewell,7.5,Clint Eastwood,68.0
Upgrade,7.5,Leigh Whannell,67.0
Zombieland,7.5,Ruben Fleischer,73.0
Incredibles 2,7.5,Brad Bird,80.0
The Hunt for Red October,7.5,John McTiernan,58.0
A Time to Kill,7.5,Joel Schumacher,53.0
Munich,7.5,Steven Spielberg,74.0
Will & Harper,7.5,Josh Greenbaum,74.0
BlacKkKlansman,7.5,Spike Lee,83.0
Leaving Las Vegas,7.5,Mike Figgis,82.0
The Wicker Man,7.5,Robin Hardy,87.0
Fear and Loathing in Las Vegas,7.5,Terry Gilliam,41.0
The Favourite,7.5,Yorgos Lanthimos,91.0
Brooklyn,7.5,John Crowley,88.0
The Hurt Locker,7.5,Kathryn Bigelow,95.0
Lone Survivor,7.5,Peter Berg,60.0
The Aviator,7.5,Martin Scorsese,77.0
Lolita,7.5,Stanley Kubrick,79.0
Blow,7.5,Ted Demme,52.0
Perfume: The Story of a Murderer,7.5,Tom Tykwer,56.0
A Simple Plan,7.5,Sam Raimi,81.0
Christiane F.,7.5,Uli Edel,
Forbidden Planet,7.5,Fred M. Wilcox,80.0
Source Code,7.5,Duncan Jones,74.0
Midnight Run,7.5,Martin Brest,78.0
Secondhand Lions,7.5,Tim McCanlies,52.0
"I, Tonya",7.5,Craig Gillespie,77.0
Funny Games,7.5,Michael Haneke,69.0
Enemy at the Gates,7.5,Jean-Jacques Annaud,53.0
Wallace & Gromit: The Curse of the Were-Rabbit,7.5,"Steve Box, Nick Park",87.0
The Piano,7.5,Jane Campion,89.0
Waves,7.5,Trey Edward Shults,80.0
Babel,7.5,Alejandro G. Iñárritu,69.0
Hugo,7.5,Martin Scorsese,83.0
Menace II Society,7.5,"Albert Hughes, Allen Hughes",76.0
127 Hours,7.5,Danny Boyle,82.0
"Love, Simon",7.5,Greg Berlanti,72.0
Tucker and Dale vs Evil,7.5,Eli Craig,65.0
Kiss Kiss Bang Bang,7.5,Shane Black,73.0
"Tick, Tick... Boom!",7.5,Lin-Manuel Miranda,74.0
Bhool Bhulaiyaa,7.5,Priyadarshan,
The Assassination of Jesse James by the Coward Robert Ford,7.5,Andrew Dominik,68.0
Robin Hood,7.5,"Wolfgang Reitherman, David Hand",57.0
The Omen,7.5,Richard Donner,62.0
Still Alice,7.5,"Richard Glatzer, Wash Westmoreland",72.0
The Hate U Give,7.5,George Tillman Jr.,81.0
The Mauritanian,7.5,Kevin Macdonald,53.0
Blood Simple,7.5,"Joel Coen, Ethan Coen",84.0
The Hours,7.5,Stephen Daldry,80.0
Cure,7.5,Kiyoshi Kurosawa,70.0
Braindead,7.5,Peter Jackson,54.0
"Synecdoche, New York",7.5,Charlie Kaufman,67.0
Fish Called Wanda,7.5,"Charles Crichton, John Cleese",80.0
Boys Don't Cry,7.5,Kimberly Peirce,86.0
Field of Dreams,7.5,Phil Alden Robinson,57.0
Nimona,7.5,"Nick Bruno, Troy Quane",75.0
It's a Mad Mad Mad Mad World,7.5,Stanley Kramer,59.0
The Fisher King,7.5,Terry Gilliam,67.0
Dangerous Liaisons,7.5,Stephen Frears,74.0
The Wind That Shakes the Barley,7.5,Ken Loach,82.0
The Illusionist,7.5,Neil Burger,68.0
El Dorado,7.5,Howard Hawks,85.0
Best in Show,7.5,Christopher Guest,78.0
Grindhouse,7.5,"Robert Rodriguez, Eli Roth, Quentin Tarantino",77.0
Do Lok Tin Si,7.5,Kar-Wai Wong,71.0
Boiling Point,7.5,Philip Barantini,73.0
Riders of Justice,7.5,Anders Thomas Jensen,81.0
Stree,7.5,Amar Kaushik,
The Long Goodbye,7.5,Robert Altman,87.0
A Single Man,7.5,Tom Ford,77.0
Hunger,7.5,Steve McQueen,82.0
"Murder, My Sweet",7.5,Edward Dmytryk,
Meet Me in St. Louis,7.5,Vincente Minnelli,94.0
"The Cook, the Thief, His Wife & Her Lover",7.5,Peter Greenaway,62.0
Pleasantville,7.5,Gary Ross,71.0
Drive My Car,7.5,Ryûsuke Hamaguchi,91.0
色，戒,7.5,Ang Lee,61.0
Dead Man's Shoes,7.5,Shane Meadows,52.0
A Perfect World,7.5,Clint Eastwood,71.0
The Last Temptation of Christ,7.5,Martin Scorsese,80.0
The Book Thief,7.5,Brian Percival,53.0
Dark Passage,7.5,Delmer Daves,68.0
Sophie's Choice,7.5,Alan J. Pakula,68.0
The Player,7.5,Robert Altman,86.0
Batoru Rowaiaru,7.5,Kinji Fukasaku,81.0
Le locataire,7.5,Roman Polanski,71.0
King Richard,7.5,Reinaldo Marcus Green,76.0
Godzilla,7.5,Ishirô Honda,79.0
The Big Sick,7.5,Michael Showalter,86.0
Chaplin,7.5,Richard Attenborough,47.0
Doubt,7.5,John Patrick Shanley,68.0
The Secret of NIMH,7.5,Don Bluth,76.0
"The Adventures of Priscilla, Queen of the Desert",7.5,Stephan Elliott,70.0
Withnail & I,7.5,Bruce Robinson,84.0
The Time Machine,7.5,George Pal,67.0
Pinocchio,7.5,"Norman Ferguson, T. Hee, Wilfred Jackson",99.0
Hair,7.5,Milos Forman,68.0
Forgotten Love,7.5,Michal Gazda,
The Man Who Wasn't There,7.5,Joel Coen,73.0
Midnight Express,7.5,Alan Parker,59.0
The Life of David Gale,7.5,Alan Parker,31.0
Rudy,7.5,David Anspaugh,71.0
The Producers,7.5,Mel Brooks,96.0
La cité des enfants perdus,7.5,"Marc Caro, Jean-Pierre Jeunet",73.0
The Great Debaters,7.5,Denzel Washington,65.0
Saving Banks,7.5,John Lee Hancock,65.0
Miracle,7.5,Gavin O'Connor,68.0
Le Grand Bleu,7.5,Luc Besson,35.0
La Belle Noiseuse,7.5,Jacques Rivette,
Weathering with You,7.5,Makoto Shinkai,72.0
The Beasts,7.5,Rodrigo Sorogoyen,85.0
Scrooge,7.5,Ronald Neame,58.0
Ghost Dog: The Way of the Samurai,7.5,Jim Jarmusch,68.0
Chinjeolhan Geumjassi,7.5,Park Chan-wook,75.0
Stranger Than Fiction,7.5,Marc Forster,67.0
Miss Sloane,7.5,John Madden,64.0
Interstate 60: Episodes of the Road,7.5,Bob Gale,
Delicatessen,7.5,"Marc Caro, Jean-Pierre Jeunet",66.0
Mars Express,7.5,Jérémie Périn,76.0
Hodejegerne,7.5,Morten Tyldum,72.0
Milk,7.5,Gus Van Sant,83.0
Selma,7.5,Ava DuVernay,79.0
Dead Man Walking,7.5,Tim Robbins,80.0
Pain and Glory,7.5,Pedro Almodóvar,87.0
Dead Man,7.5,Jim Jarmusch,62.0
The Guns of Navarone,7.5,J. Lee Thompson,72.0
Zimna Wojna,7.5,Pawel Pawlikowski,90.0
Thank You for Smoking,7.5,Jason Reitman,71.0
Tulitikkutehtaan tyttö,7.5,Aki Kaurismäki,
Profondo rosso,7.5,Dario Argento,89.0
El agente topo,7.5,Maite Alberdi,69.0
The Last Detail,7.5,Hal Ashby,86.0
En Kongelig Affære,7.5,Nikolaj Arcel,73.0
42,7.5,Brian Helgeland,62.0
The Farewell,7.5,Lulu Wang,89.0
Boksuneun Naui Geot,7.5,Park Chan-wook,59.0
Henry V,7.5,Kenneth Branagh,83.0
A Hard Day's Night,7.5,Richard Lester,96.0
"Jeanne Dielman, 23, Quai Du Commerce, 1080 Bruxelles",7.5,Chantal Akerman,94.0
Ne le dis à personne,7.5,Guillaume Canet,82.0
Freier Fall,7.5,Stephan Lacant,
Tora! Tora! Tora!,7.5,"Richard Fleischer, Kinji Fukasaku, Toshio Masuda",46.0
Stalingrad,7.5,Joseph Vilsmaier,
A Christmas Carol,7.5,Edwin L. Marin,72.0
House of Sand and Fog,7.5,Vadim Perelman,71.0
Quiz Show,7.5,Robert Redford,92.0
A Star Is Born,7.5,George Cukor,89.0
Little Big Man,7.5,Arthur Penn,63.0
The Many Adventures of Winnie the Pooh,7.5,"John Lounsbery, Wolfgang Reitherman, Ben Sharpsteen",
Ging Chaat Goo Si,7.5,"Jackie Chan, Chi-Hwa Chen",78.0
Grey Gardens,7.5,"Ellen Hovde, Albert Maysles, David Maysles",83.0
La Môme,7.5,Olivier Dahan,66.0
Professione: Reporter,7.5,Michelangelo Antonioni,90.0
Byôsoku 5 senchimêtoru,7.5,Makoto Shinkai,
Clouds,7.5,Justin Baldoni,55.0
Matlub Alam Bagadhra Hat,7.5,Yimou Zhang,89.0
Kuch Kuch Hota Hai,7.5,Karan Johar,
Dalkomhan Insaeng,7.5,Kim Jee-woon,
Redline,7.5,Takeshi Koike,
Santa Sangre,7.5,Alejandro Jodorowsky,
"Mujeres al borde de un ataque de ""nervios""",7.5,Pedro Almodóvar,85.0
Memorîzu,7.5,"Katsuhiro Ôtomo, Kôji Morimoto, Tensai Okamura",
The Meaning of Life,7.5,Terry Jones,72.0
Born Yesterday,7.5,George Cukor,
Twin Peaks: The Missing Pieces,7.5,David Lynch,
Fucking Åmål,7.5,Lukas Moodysson,73.0
Spellbound,7.5,Alfred Hitchcock,78.0
Jûsan-nin no shikaku,7.5,Takashi Miike,84.0
High Sierra,7.5,Raoul Walsh,
Den Skyldige,7.5,Gustav Möller,83.0
Sinsegye,7.5,Park Hoon-jung,58.0
Disconnect,7.5,Henry Alex Rubin,64.0
Devdas,7.5,Sanjay Leela Bhansali,
Kiss Me Deadly,7.5,Robert Aldrich,
Death Note,7.5,Shûsuke Kaneko,
Sin Nombre,7.5,Cary Joji Fukunaga,77.0
The Sand Pebbles,7.5,Robert Wise,
Boy,7.5,Taika Waititi,70.0
Wings,7.5,"William A. Wellman, Harry d'Abbadie d'Arrast",78.0
The Flowers of War,7.5,Yimou Zhang,46.0
The Secret of Kells,7.5,"Tomm Moore, Nora Twomey",81.0
Tyrannosaur,7.5,Paddy Considine,65.0
You Can Count on Me,7.5,Kenneth Lonergan,85.0
Coal Miner's Daughter,7.5,Michael Apted,84.0
Fruitvale Station,7.5,Ryan Coogler,85.0
10 Rillington Place,7.5,Richard Fleischer,
The Spy Who Came in from the Cold,7.5,Martin Ritt,
The Picture of Dorian Gray,7.5,Albert Lewin,
Teströl És Lélekröl,7.5,Ildikó Enyedi,77.0
The Lady from Shanghai,7.5,Orson Welles,
The Collector,7.5,William Wyler,
The Imposter,7.5,Bart Layton,77.0
The Man Who Came to Dinner,7.5,William Keighley,71.0
Whale Rider,7.5,Niki Caro,80.0
Ratcatcher,7.5,Lynne Ramsay,78.0
Ballon,7.5,Michael Herbig,53.0
The Phantom of the Opera,7.5,"Rupert Julian, Lon Chaney, Ernst Laemmle",
Out in the Dark,7.5,Michael Mayer,69.0
Le Souffle Au Coeur,7.5,Louis Malle,
Miss Lovely,7.5,Ashim Ahluwalia,52.0
Sheytan vojud nadarad,7.5,Mohammad Rasoulof,82.0
Like Aani Subscribe,7.5,Abhishek Merukar,
Brothers,7.5,Susanne Bier,76.0
Yip Man 2,7.5,Wilson Yip,67.0
Tickled,7.5,"David Farrier, Dylan Reeve",76.0
Fresh,7.5,Boaz Yakin,81.0
"Hush...Hush, Sweet Charlotte",7.5,Robert Aldrich,
Wuthering Heights,7.5,William Wyler,
Fahrenheit 9/11,7.5,Michael Moore,67.0
A Hero,7.5,Asghar Farhadi,82.0
Lazzaro felice,7.5,Alice Rohrwacher,87.0
Mystery Train,7.5,Jim Jarmusch,80.0
Living in Oblivion,7.5,Tom DiCillo,81.0
Children's Games,7.5,Yann Samuell,45.0
Umimachi Diary,7.5,Hirokazu Koreeda,75.0
Remember,7.5,Atom Egoyan,52.0
Berserk: Ougon Jidai-hen I - Haou no Tamago,7.5,Toshiyuki Kubooka,
Husbands and Wives,7.5,Woody Allen,84.0
Neru,7.5,Jeethu Joseph,
Jui kuen II,7.5,"Chia-Liang Liu, Jackie Chan",74.0
Revanche,7.5,Götz Spielmann,84.0
Lenny,7.5,Bob Fosse,61.0
No se aceptan devoluciones,7.5,Eugenio Derbez,55.0
All the Beauty and the Bloodshed,7.5,Laura Poitras,91.0
Europa,7.5,Lars von Trier,69.0
Flickering Lights,7.5,Anders Thomas Jensen,47.0
The Flight of the Phoenix,7.5,Robert Aldrich,
The Naked City,7.5,Jules Dassin,74.0
Le conseguenze dell'amore,7.5,Paolo Sorrentino,
Support Your Local Sheriff!,7.5,Burt Kennedy,56.0
Chup,7.5,R Balki,
How to Steal a Million,7.5,William Wyler,
"Suddenly, Last Summer",7.5,Joseph L. Mankiewicz,54.0
Lilies of the Field,7.5,Ralph Nelson,61.0
Evangelion Shin Gekijôban: Jo,7.5,"Hiroshi Haraguchi, Masayuki, Kazuya Tsurumaki",66.0
La tortue rouge,7.5,Michael Dudok de Wit,86.0
All About Lily Chou-Chou,7.5,Shunji Iwai,73.0
The Blue Caftan,7.5,Maryam Touzani,83.0
J'ai Perdu Mon Corps,7.5,Jérémy Clapin,81.0
The Namesake,7.5,Mira Nair,82.0
Sånger från andra våningen,7.5,Roy Andersson,77.0
Sunshine,7.5,István Szabó,71.0
Sudden Fear,7.5,David Miller,
Swept Away,7.5,Lina Wertmüller,
Burning Days,7.5,Emin Alper,
Dinner at Eight,7.5,George Cukor,
Away from Her,7.5,Sarah Polley,88.0
Charley Varrick,7.5,Don Siegel,76.0
Frantz,7.5,François Ozon,73.0
Golmaal: Fun Unlimited,7.5,Rohit Shetty,
Blue Collar,7.5,Paul Schrader,77.0
Cyrano de Bergerac,7.5,Jean-Paul Rappeneau,79.0
The Bitter Tears of Petra Von Kant,7.5,Rainer Werner Fassbinder,73.0
Elsker dig for evigt,7.5,Susanne Bier,77.0
Mr. Klein,7.5,Joseph Losey,
Sonachine,7.5,Takeshi Kitano,73.0
A Man and a Woman,7.5,Claude Lelouch,
Dead of Night,7.5,"Alberto Cavalcanti, Charles Crichton, Basil Dearden",
OMG 2,7.5,Amit Rai,
Great Freedom,7.5,Sebastian Meise,89.0
La Cérémonie,7.5,Claude Chabrol,
The Nun's Story,7.5,Fred Zinnemann,78.0
The Harder They Fall,7.5,Mark Robson,78.0
Lunana: A Yak in the Classroom,7.5,Pawo Choyning Dorji,76.0
The Hitter,7.5,Gordon Chan,
The Damned United,7.5,Tom Hooper,81.0
Room at the Top,7.5,Jack Clayton,84.0
Submarino,7.5,Thomas Vinterberg,
Baisers volés,7.5,François Truffaut,
L'instinct de mort,7.5,Jean-François Richet,71.0
Uzak,7.5,Nuri Bilge Ceylan,84.0
Since You Went Away,7.5,"John Cromwell, Edward F. Cline, Tay Garnett",
Europa Europa,7.5,Agnieszka Holland,75.0
All or Nothing,7.5,Mike Leigh,72.0
The Lavender Hill Mob,7.5,Charles Crichton,90.0
The Wolf House,7.5,"Joaquín Cociña, Cristóbal León",86.0
Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese,7.5,Martin Scorsese,87.0
Ludwig,7.5,Luchino Visconti,
Iron Monkey,7.5,Woo-Ping Yuen,79.0
Die Fälscher,7.5,Stefan Ruzowitzky,78.0
Dil Se..,7.5,Mani Ratnam,
"Sjecas li se, Dolly Bell",7.5,Emir Kusturica,
One Piece: Stampede,7.5,Takashi Ôtsuka,
Brute Force,7.5,Jules Dassin,80.0
Summer with Monika,7.5,Ingmar Bergman,
Never Cry Wolf,7.5,Carroll Ballard,
Wheel of Fortune and Fantasy,7.5,Ryûsuke Hamaguchi,86.0
Scaramouche,7.5,George Sidney,
As It Is in Heaven,7.5,Kay Pollak,
The Palm Beach Story,7.5,Preston Sturges,
An Inspector Calls,7.5,Guy Hamilton,
Jane Eyre,7.5,Robert Stevenson,
Profumo di donna,7.5,Dino Risi,
Sanatorium pod Klepsydra,7.5,Wojciech Has,
Stories We Tell,7.5,Sarah Polley,91.0
Hum Aapke Hain Koun...!,7.5,Sooraj R. Barjatya,
Bandit Queen,7.5,Shekhar Kapur,
Tokyo Sonata,7.5,Kiyoshi Kurosawa,80.0
This Sporting Life,7.5,Lindsay Anderson,
Seksmisja,7.5,Juliusz Machulski,
Vargtimmen,7.5,Ingmar Bergman,
Wadjda,7.5,Haifaa Al-Mansour,81.0
March of the Penguins,7.5,Luc Jacquet,79.0
The Mark of Zorro,7.5,Rouben Mamoulian,
The Five Heartbeats,7.5,Robert Townsend,
Cobain: Montage of Heck,7.5,Brett Morgen,83.0
Omar,7.5,Hany Abu-Assad,75.0
The Letter,7.5,William Wyler,84.0
Miryang,7.5,Lee Chang-dong,84.0
The Desperate Hours,7.5,William Wyler,
Entre les murs,7.5,Laurent Cantet,92.0
Rurouni Kenshin: Kyoto Inferno,7.5,Keishi Otomo,
Nowhere in Africa,7.5,Caroline Link,72.0
Imitation of Life,7.5,John M. Stahl,72.0
The Petrified Forest,7.5,Archie Mayo,
Here Comes Mr. Jordan,7.5,Alexander Hall,
The Talk of the Town,7.5,George Stevens,
Bareilly Ki Barfi,7.5,Ashwiny Iyer Tiwari,
Sahara,7.5,Zoltan Korda,
I cento passi,7.5,Marco Tullio Giordana,
The Good Earth,7.5,"Sidney Franklin, Victor Fleming, Gustav Machatý",
The Summit of the Gods,7.5,Patrick Imbert,78.0
Le père Noël est une ordure,7.5,Jean-Marie Poiré,
Red Cliff II,7.5,John Woo,
Baby Face,7.5,Alfred E. Green,
King Rat,7.5,Bryan Forbes,
Monsieur Lazhar,7.5,Philippe Falardeau,82.0
Roger & Me,7.5,Michael Moore,70.0
Medianeras,7.5,Gustavo Taretto,60.0
The Mountain,7.5,Alper Caglar,
I Want to Live!,7.5,Robert Wise,
Beau Geste,7.5,William A. Wellman,69.0
Manorama Six Feet Under,7.5,Navdeep Singh,
Elling,7.5,Petter Næss,70.0
Güeros,7.5,Alonso Ruizpalacios,77.0
La fille sur le pont,7.5,Patrice Leconte,75.0
Sardar,7.5,P.S. Mithran,
Get Real,7.5,Simon Shore,
Tanhaji: The Unsung Warrior,7.5,Om Raut,
Kings Row,7.5,Sam Wood,
Queen Christina,7.5,Rouben Mamoulian,
Siworae,7.5,Hyun-seung Lee,
L'ami de mon amie,7.5,Éric Rohmer,
303,7.5,Hans Weingartner,
Long Day's Journey Into Night,7.5,Sidney Lumet,
'83,7.5,"Pritam Chakraborty, Kabir Khan, Amit Mishra",
Mersal,7.5,Atlee,
My Winnipeg,7.5,Guy Maddin,84.0
Ansiktet,7.5,Ingmar Bergman,86.0
A Day at the Races,7.5,Sam Wood,
Rurouni Kenshin: The Legend Ends,7.5,Keishi Otomo,
Claire's Knee,7.5,Éric Rohmer,
Maboroshi no hikari,7.5,Hirokazu Koreeda,92.0
Detective Story,7.5,William Wyler,78.0
Blancanieves,7.5,Pablo Berger,82.0
Romancham,7.5,Jithu Madhavan,
The Tragedy of Othello: The Moor of Venice,7.5,Orson Welles,
La noche de 12 años,7.5,Álvaro Brechner,
De Marathon,7.5,Diederick Koopal,
Somebody Up There Likes Me,7.5,Robert Wise,
Varjoja paratiisissa,7.5,Aki Kaurismäki,
Shaadi Mein Zaroor Aana,7.5,Ratnaa Sinha,
Bullet in the Head,7.5,John Woo,
And Now for Something Completely Different,7.5,Ian MacNaughton,
Where to Invade Next,7.5,Michael Moore,64.0
Saturday Night and Sunday Morning,7.5,Karel Reisz,
El ciudadano ilustre,7.5,"Mariano Cohn, Gastón Duprat",
Land and Freedom,7.5,Ken Loach,
Val (Duh),7.5,"Ting Poo, Leo Scott",73.0
Elle s'appelait Sarah,7.5,Gilles Paquet-Brenner,59.0
Lásky jedné plavovlásky,7.5,Milos Forman,
The Dresser,7.5,Peter Yates,
La danza de la realidad,7.5,Alejandro Jodorowsky,76.0
Young Mr. Lincoln,7.5,John Ford,91.0
Izgnanie,7.5,Andrey Zvyagintsev,59.0
"Come Back, Little Sheba",7.5,Daniel Mann,
Wan pisu firumu: sutorongu warudo,7.5,Munehisa Sakai,
Swing Time,7.5,George Stevens,91.0
Tous les matins du monde,7.5,Alain Corneau,
Jodhaa Akbar,7.5,Ashutosh Gowariker,69.0
Les invasions barbares,7.5,Denys Arcand,70.0
Dupa dealuri,7.5,Cristian Mungiu,79.0
Jusqu'à La Garde,7.5,Xavier Legrand,83.0
Parched,7.5,Leena Yadav,67.0
The Decline of Western Civilization,7.5,Penelope Spheeris,93.0
