Title,Average Rating,Director,Metascore
El Laberinto Del Fauno,8.2,Guillermo del Toro,98.0
Howl's Moving Castle,8.2,Hayao Miyazaki,82.0
Tumbbad,8.2,"Rahi Anil Barve, Anand Gandhi, Adesh Prasad",
L.A. Confidential,8.2,Curtis Hanson,91.0
Finding Nemo,8.2,"Andrew Stanton, Lee Unkrich",90.0
Indiana Jones and the Last Crusade,8.2,Steven Spielberg,65.0
Der Untergang,8.2,Oliver Hirschbiegel,82.0
Gone with the Wind,8.2,"Victor Fleming, George Cukor, Sam Wood",97.0
El Secreto De Sus Ojos,8.2,Juan José Campanella,80.0
The Father,8.2,Florian Zeller,88.0
Monty Python and the Holy Grail,8.2,"Terry Gilliam, Terry Jones",91.0
Some Like It Hot,8.2,Billy Wilder,98.0
The Great Escape,8.2,John Sturges,86.0
The Elephant Man,8.2,David Lynch,78.0
Ran,8.2,Akira Kurosawa,97.0
Per qualche dollaro in più,8.2,Sergio Leone,74.0
All About Eve,8.2,Joseph L. Mankiewicz,98.0
Dial M for Murder,8.2,Alfred Hitchcock,75.0
Demon Slayer: Mugen Train,8.2,Haruo Sotozaki,72.0
Rashōmon,8.2,Akira Kurosawa,98.0
Hi Nanna,8.2,Shouryuv,
The Act of Killing,8.2,"Joshua Oppenheimer, Anonymous, Christine Cynn",92.0
Manjummel Boys,8.2,Chidambaram,
A Man in the Crowd,8.2,Elia Kazan,72.0
Inside Job,8.2,Charles Ferguson,88.0
Drishyam 2,8.2,Abhishek Pathak,
Bacheha-Ye Aseman,8.2,Majid Majidi,77.0
The Treasure of the Sierra Madre,8.2,John Huston,98.0
Yojimbo,8.2,Akira Kurosawa,93.0
Drishyam,8.2,Nishikant Kamat,
Yedinci Kogustaki Mucize,8.2,Mehmet Ada Öztekin,
K.G.F: Chapter 2,8.2,Prashanth Neel,
Andhadhun,8.2,Sriram Raghavan,
Koyaanisqatsi,8.2,Godfrey Reggio,72.0
A Man Escaped,8.2,Robert Bresson,
Sátántangó,8.2,Béla Tarr,
Bhaag Milkha Bhaag,8.2,Rakeysh Omprakash Mehra,
Napoléon vu par Abel Gance,8.2,Abel Gance,
The Kid,8.2,Charles Chaplin,
They Shall Not Grow Old,8.2,Peter Jackson,91.0
A Brighter Summer Day,8.2,Edward Yang,91.0
Look on the Internet,8.2,Abbas Kiarostami,92.0
Paris Is Burning,8.2,Jennie Livingston,82.0
Rocco and His Brothers,8.2,Luchino Visconti,84.0
Uri: The Surgical Strike,8.2,Aditya Dhar,
K.G.F: Chapter 1,8.2,Prashanth Neel,
Kantara,8.2,Rishab Shetty,
Hera Pheri,8.2,Priyadarshan,
Ayla: The Daughter of War,8.2,Can Ulkay,
Searching for Sugar Man,8.2,Malik Bendjelloul,79.0
Lion of the Desert,8.2,Moustapha Akkad,
Gangs of Wasseypur,8.2,Anurag Kashyap,89.0
My Father and My Son,8.2,Çagan Irmak,
Zindagi Na Milegi Dobara,8.2,Zoya Akhtar,
Pather Panchali,8.2,Satyajit Ray,
