DATAFLOW,LAST UPDATE,freq,s_adj,age,sex,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,DE,2024-06,629,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,DK,2023-08,74,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,DK,2023-09,76,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,DK,2023-10,97,b
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,DK,2023-11,98,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,DK,2023-12,96,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,DK,2024-01,94,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,DK,2024-02,90,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,DK,2024-03,89,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,DK,2024-04,88,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,DK,2024-05,98,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,DK,2024-06,96,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,EA20,2023-08,5478,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,EA20,2023-09,5534,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,EA20,2023-10,5557,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,EA20,2023-11,5488,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,EA20,2023-12,5495,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,EA20,2024-01,5507,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,EA20,2024-02,5519,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,EA20,2024-03,5513,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,EA20,2024-04,5431,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,EA20,2024-05,5432,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,EA20,2024-06,5446,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,EE,2023-08,29,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,EE,2023-09,26,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,EE,2023-10,24,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,EE,2023-11,25,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,EE,2023-12,27,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,EE,2024-01,29,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,EE,2024-02,29,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,EE,2024-03,31,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,EE,2024-04,31,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,EE,2024-05,29,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,EE,2024-06,29,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,EL,2023-08,295,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,EL,2023-09,291,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,EL,2023-10,286,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,EL,2023-11,280,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,EL,2023-12,286,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,EL,2024-01,299,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,EL,2024-02,297,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,EL,2024-03,298,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,EL,2024-04,282,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,EL,2024-05,280,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,EL,2024-06,261,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,ES,2023-08,1556,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,ES,2023-09,1556,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,ES,2023-10,1550,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,ES,2023-11,1535,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,ES,2023-12,1531,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,ES,2024-01,1522,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,ES,2024-02,1511,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,ES,2024-03,1509,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,ES,2024-04,1513,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,ES,2024-05,1515,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,ES,2024-06,1509,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,EU27_2020,2023-08,6419,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,EU27_2020,2023-09,6490,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,EU27_2020,2023-10,6545,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,EU27_2020,2023-11,6471,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,EU27_2020,2023-12,6493,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,EU27_2020,2024-01,6518,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,EU27_2020,2024-02,6493,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,EU27_2020,2024-03,6525,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,EU27_2020,2024-04,6434,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,EU27_2020,2024-05,6444,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,EU27_2020,2024-06,6459,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,FI,2023-08,88,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,FI,2023-09,93,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,FI,2023-10,100,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,FI,2023-11,93,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,FI,2023-12,94,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,FI,2024-01,96,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,FI,2024-02,98,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,FI,2024-03,103,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,FI,2024-04,97,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,FI,2024-05,99,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,FI,2024-06,100,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,FR,2023-08,1105,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,FR,2023-09,1100,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,FR,2023-10,1114,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,FR,2023-11,1119,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,FR,2023-12,1125,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,FR,2024-01,1118,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,FR,2024-02,1113,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,FR,2024-03,1107,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,FR,2024-04,1098,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,FR,2024-05,1107,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,FR,2024-06,1116,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,HR,2023-08,54,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,HR,2023-09,54,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,HR,2023-10,53,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,HR,2023-11,52,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,HR,2023-12,52,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,HR,2024-01,51,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,HR,2024-02,50,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,HR,2024-03,49,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,HR,2024-04,48,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,HR,2024-05,46,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,HR,2024-06,45,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,HU,2023-08,95,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,HU,2023-09,93,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,HU,2023-10,96,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,HU,2023-11,97,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,HU,2023-12,99,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,HU,2024-01,99,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,HU,2024-02,102,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,HU,2024-03,100,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,HU,2024-04,100,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,HU,2024-05,100,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,HU,2024-06,101,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,IE,2023-08,54,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,IE,2023-09,59,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,IE,2023-10,61,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,IE,2023-11,62,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,IE,2023-12,63,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,IE,2024-01,63,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,IE,2024-02,58,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,IE,2024-03,58,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,IE,2024-04,59,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,IE,2024-05,60,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,IE,2024-06,61,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,IE,2024-07,65,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,IS,2023-08,3,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,IS,2023-09,3,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,IS,2023-10,3,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,IS,2023-11,3,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,IS,2023-12,5,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,IS,2024-01,3,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,IS,2024-02,3,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,IT,2023-08,937,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,IT,2023-09,969,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,IT,2023-10,978,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,IT,2023-11,938,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,IT,2023-12,906,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,IT,2024-01,908,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,IT,2024-02,934,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,IT,2024-03,920,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,IT,2024-04,877,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,IT,2024-05,867,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,IT,2024-06,881,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,JP,2023-08,750,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,JP,2023-09,730,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,JP,2023-10,770,
ESTAT:TEILM010(1.0),16/08/24 11:00:00,M,SA,TOTAL,F,THS_PER,JP,2023-11,750,
