title,genre,popularity
Rashomon,"Crime,Drama,Mystery",13.672
"Lock, Stock and Two Smoking Barrels","Comedy,Crime",10.191
Ayla: The Daughter of War,"Drama,War",13.651
Togo,"Adventure,Family",140.122
Double Indemnity,"Crime,Drama,Mystery,Thriller",10.892
Central Station,Drama,8.722
Sherlock Jr.,"Action,Comedy,Mystery",10.842
Me Against You: Mr. S's Vendetta,"Comedy,Family",7.143
Out of the Clear Blue Sky,"Comedy,Drama,Music",21.381
Nobody,"Action,Crime,Thriller",181.22
Reservoir Dogs,"Crime,Thriller",26.577
Django Unchained,"Drama,Western",66.924
Far From the Tree,"Animation,Family",94.009
The Great War,"Drama,Comedy,War",7.75
Cruella,"Comedy,Crime",309.589
Full Metal Jacket,"Drama,War",33.082
Good Will Hunting,Drama,75.319
Some Like It Hot,"Comedy,Music,Romance,Crime",18.609
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"Drama,Comedy,War",20.98
Wild Strawberries,Drama,11.212
Alien,"Horror,Science Fiction",56.013
Paper Lives,Drama,27.235
The Invisible Guest,"Drama,Mystery,Thriller",40.228
"Paris, Texas",Drama,13.936
How to Train Your Dragon: Homecoming,"Animation,Fantasy,Adventure,Action,Family",66.113
Dersu Uzala,"Action,Adventure,Drama",10.129
Pather Panchali,Drama,10.311
The Tale of The Princess Kaguya,"Animation,Drama,Fantasy",15.807
Anne of Green Gables,"Family,Drama",17.847
Harry Potter and the Deathly Hallows: Part 2,"Fantasy,Adventure",290.891
Michael Jackson's Thriller,"Horror,Music",10.247
Big Deal on Madonna Street,"Comedy,Crime",7.869
The Truman Show,"Comedy,Drama",45.536
Red Beard,Drama,8.918
M,"Drama,Action,Thriller,Crime",9.937
Believe Me: The Abduction of Lisa McVey,"Drama,TV Movie",38.786
In the Mood for Love,"Drama,Romance",17.909
Incendies,"Drama,War,Mystery",15.385
A Special Day,"Drama,Romance",6.666
I corti,Comedy,4.424
There Will Be Blood,Drama,19.484
Hannah Gadsby: Nanette,Comedy,6.355
Eternal Sunshine of the Spotless Mind,"Science Fiction,Drama,Romance",31.087
Straight Outta Nowhere: Scooby-Doo! Meets Courage the Cowardly Dog,"Animation,Comedy,Mystery,Family,Fantasy",133.638
The Hunt,Drama,20.223
"Three Billboards Outside Ebbing, Missouri","Crime,Drama",20.944
Lion,Drama,25.744
In the Arms of an Assassin,"Romance,Thriller",13.589
Ugetsu,"Fantasy,Drama,Mystery",9.058
Kitbull,"Animation,Family,Drama",6.404
The Best of Youth,"Drama,History,Romance",6.708
"Toto, Peppino, and the Hussy","Comedy,Romance",5.38
The Passion of Joan of Arc,"Drama,History",10.528
The 400 Blows,Drama,12.066
Scooby-Doo! and Kiss: Rock and Roll Mystery,"Family,Animation,Comedy",18.978
La Haine,Drama,16.787
"Love, Simon","Comedy,Drama,Romance",32.996
Das Boot,"Drama,History,War",17.151
Pride & Prejudice,"Drama,Romance",55.534
The Elephant Man,"Drama,History",14.738
Mirror,"Drama,History",11.603
A Taxi Driver,"Action,Drama,History",16.223
Silenced,Drama,27.784
Ran,"Action,Drama,History",13.244
2001: A Space Odyssey,"Science Fiction,Mystery,Adventure",36.424
Jojo Rabbit,"Comedy,War,Drama",34.557
Bound by Honor,"Crime,Action,Drama,Thriller",81.974
Terminator 2: Judgment Day,"Action,Thriller,Science Fiction",67.385
Doctor Who: The Time of the Doctor,"Drama,Science Fiction,TV Movie",6.48
Rocco and His Brothers,"Crime,Drama",8.618
My Neighbor Totoro,"Fantasy,Animation,Family",57.039
The Red Shoes,"Drama,Romance",9.546
Late Spring,Drama,8.074
Nights of Cabiria,Drama,10.741
Memories of Murder,"Crime,Drama,Thriller",25.052
Ron's Gone Wrong,"Animation,Science Fiction,Family,Comedy",224.167
Love Exposure,"Action,Comedy,Drama,Romance",10.194
A Dog's Journey,"Family,Adventure,Drama",61.029
Loving Vincent,"Animation,Drama,Mystery,History",15.079
