job_title,work_year,salary_in_usd,company_location,company_size
Machine Learning Engineer,2024,315000,US,M
Data Engineer,2022,315000,US,M
Data Scientist,2024,314100,US,M
Head of Data Science,2023,314100,US,M
Data Engineer,2024,314000,CA,M
Data Engineer,2024,313000,US,M
Data Engineer,2024,313000,US,M
Data Engineer,2024,312287,US,M
Machine Learning Engineer,2023,311000,US,M
Data Scientist,2024,310270,US,M
Data Scientist,2023,310270,US,M
Data Scientist,2023,310270,US,M
Data Scientist,2023,310270,US,M
Data Scientist,2023,310270,US,M
Data Scientist,2023,310270,US,M
Machine Learning Engineer,2024,310000,US,M
Machine Learning Engineer,2024,310000,US,M
AI Engineer,2024,310000,US,M
Research Engineer,2024,310000,US,M
Data Scientist,2024,310000,US,M
Data Scientist,2023,310000,US,M
Data Architect,2023,310000,US,M
Research Engineer,2023,310000,US,M
Data Engineer,2023,310000,US,M
Data Engineer,2023,310000,US,M
Data Engineer,2023,310000,US,M
Data Engineer,2023,310000,US,M
Data Engineer,2023,310000,US,M
Data Engineer,2023,310000,US,M
Data Engineer,2022,310000,US,M
Data Engineer,2022,310000,US,M
Applied Scientist,2023,309400,US,L
Applied Scientist,2023,309400,US,L
Applied Scientist,2023,309400,US,L
Applied Scientist,2023,309400,US,L
Applied Scientist,2023,309400,US,L
Applied Scientist,2023,309400,US,L
Applied Scientist,2023,309400,US,L
Machine Learning Engineer,2024,309000,US,M
Machine Learning Engineer,2024,309000,US,M
Machine Learning Engineer,2024,309000,US,M
Machine Learning Engineer,2023,309000,US,M
Machine Learning Engineer,2023,309000,US,M
Machine Learning Engineer,2023,309000,US,M
Machine Learning Engineer,2023,309000,US,M
Machine Learning Engineer,2023,309000,US,M
Data Engineer,2024,308000,US,M
Research Engineer,2023,308000,US,M
Data Scientist,2023,308000,US,M
Data Scientist,2023,308000,US,M
Research Engineer,2023,308000,US,M
Machine Learning Engineer,2024,307100,US,M
Data Scientist,2023,307100,US,M
Machine Learning Engineer,2023,306400,CA,M
Data Architect,2023,306000,US,M
Research Engineer,2023,306000,US,M
Data Architect,2023,306000,US,M
Data Architect,2023,306000,US,M
Data Architect,2023,306000,US,M
