Book,Author,Genres
Freedom at Midnight,Larry Collins,"['History', 'Nonfiction', 'India', 'Politics', 'Historical', 'Pakistan', 'Asia']"
Esio Trot,Roald Dahl,"['Childrens', 'Fiction', 'Middle Grade', 'Fantasy', 'Classics', 'Young Adult', 'Humor']"
Heart of the Matter,Emily Giffin,"['Chick Lit', 'Fiction', 'Romance', 'Contemporary', 'Adult Fiction', 'Adult', 'Audiobook']"
The Eagle of the Ninth,Rosemary Sutcliff,"['Historical Fiction', 'Fiction', 'Historical', 'Young Adult', 'Adventure', 'Classics', 'Childrens']"
Too Much Happiness: Stories,Alice Munro,"['Short Stories', 'Fiction', 'Canada', 'Contemporary', 'Nobel Prize', 'Literary Fiction', 'Literature']"
"Through the Ever Night (Under the Never Sky, #2)",Veronica Rossi,"['Young Adult', 'Dystopia', 'Romance', 'Fantasy', 'Science Fiction', 'Post Apocalyptic', 'Fiction']"
The Door,Magda Szabó,"['Fiction', 'Hungary', 'Historical Fiction', 'Hungarian Literature', 'Classics', 'Literary Fiction', 'Novels']"
コンビニ人間 [Konbini ningen],Sayaka Murata,"['Fiction', 'Contemporary', 'Japan', 'Japanese Literature', 'Literary Fiction', 'Audiobook', 'Adult']"
The Village Narcissist,Glenis Kellet,[]
"The Bullet Journal Method: Track the Past, Order the Present, Design the Future",Ryder Carroll,"['Nonfiction', 'Self Help', 'Productivity', 'Personal Development', 'Reference', 'Business', 'Journaling']"
Waking Up: A Guide to Spirituality Without Religion,Sam Harris,"['Nonfiction', 'Philosophy', 'Spirituality', 'Religion', 'Psychology', 'Self Help', 'Science']"
"Mr. Churchill's Secretary (Maggie Hope Mystery, #1)",Susan Elia MacNeal,"['Historical Fiction', 'Mystery', 'Fiction', 'Historical', 'World War II', 'Historical Mystery', 'British Literature']"
"Shaking the Nickel Bush (Little Britches, #6)",Ralph Moody,"['Biography', 'Nonfiction', 'Memoir', 'History', 'Westerns', 'Classics', 'Childrens']"
"Fallout (Crank, #3)",Ellen Hopkins,"['Young Adult', 'Poetry', 'Fiction', 'Contemporary', 'Realistic Fiction', 'Teen', 'Mental Health']"
The Diviners,Margaret Laurence,"['Fiction', 'Canada', 'Classics', 'Canadian Literature', 'Historical Fiction', 'Literary Fiction', 'Literature']"
"Holy Blood, Holy Grail",Michael Baigent,"['Nonfiction', 'History', 'Religion', 'Conspiracy Theories', 'Mystery', 'Historical', 'Christianity']"
"Blood & Spirits (The Coming Storm, #1)",Dennis Sharpe,"['Urban Fantasy', 'Vampires', 'Paranormal', 'Supernatural', 'Fantasy', 'Ghosts', 'Horror']"
The Book of Strange New Things,Michel Faber,"['Fiction', 'Science Fiction', 'Religion', 'Fantasy', 'Literary Fiction', 'Speculative Fiction', 'Dystopia']"
"Birdman (Jack Caffery, #1)",Mo Hayder,"['Mystery', 'Thriller', 'Crime', 'Fiction', 'Horror', 'Mystery Thriller', 'Suspense']"
Pink Slips,Beth Aldrich,"['Thriller', 'Mystery Thriller', 'Fiction', 'Mystery', 'Modern', 'Amazon', '21st Century']"
The Helicopter Pilot,Darcy Hoover,"['Young Adult', 'New Adult', 'Fiction', 'Contemporary', 'Adventure', 'Adult', 'Novels']"
The Wall,Jean-Paul Sartre,"['Philosophy', 'Fiction', 'Short Stories', 'Classics', 'France', 'French Literature', 'Literature']"
"Fantastic Beasts and Where to Find Them: The Original Screenplay (Fantastic Beasts: The Original Screenplay, #1)",J.K. Rowling,"['Fantasy', 'Fiction', 'Young Adult', 'Plays', 'Magic', 'Adventure', 'Middle Grade']"
The Storyteller's Secret,Sejal Badani,"['Fiction', 'Historical Fiction', 'India', 'Romance', 'Historical', 'Audiobook', 'Contemporary']"
"Why They Stay: Sex Scandals, Deals, and Hidden Agendas of Nine Political Wives",Anne  Michaud,"['Nonfiction', 'Education', 'Inspirational', 'Book Club', 'How To', 'Politics', 'History']"
The Sun Down Motel,Simone St. James,"['Mystery', 'Horror', 'Thriller', 'Fiction', 'Mystery Thriller', 'Paranormal', 'Audiobook']"
Glengarry Glen Ross,David Mamet,"['Plays', 'Drama', 'Fiction', 'Theatre', 'Classics', 'American', '20th Century']"
"Crossbones (Cross your Heart and Die, #3)",Diane L. Kowalyshyn,[]
"Soul Eater (Monstrous, #1)",Lily Mayne,"['Fantasy', 'M M Romance', 'Romance', 'Paranormal', 'LGBT', 'Dystopia', 'Monsters']"
Marry Christmas,Linda Phillips,[]
Schrödinger's Cat Trilogy,Robert Anton Wilson,"['Fiction', 'Science Fiction', 'Fantasy', 'Philosophy', 'Humor', 'Occult', 'Novels']"
Home Comforts: The Art and Science of Keeping House,Cheryl Mendelson,"['Nonfiction', 'Reference', 'Self Help', 'How To', 'Home Economics', 'Personal Development', 'Unfinished']"
The Diaries of Adam and Eve,Mark Twain,"['Classics', 'Fiction', 'Humor', 'Short Stories', 'Literature', 'Religion', 'American']"
Wonderful Life: The Burgess Shale and the Nature of History,Stephen Jay Gould,"['Science', 'Nonfiction', 'Biology', 'Evolution', 'History', 'Natural History', 'Nature']"
As the Crow Flies,Jeffrey Archer,"['Fiction', 'Historical Fiction', 'Thriller', 'Mystery', 'Drama', 'Novels', 'Historical']"
"A Light in the Window (Mitford Years, #2)",KARON JAN,"['Fiction', 'Christian Fiction', 'Christian', 'Romance', 'Adult Fiction', 'Inspirational', 'Contemporary']"
Since You've Been Gone,Morgan Matson,"['Contemporary', 'Young Adult', 'Romance', 'Fiction', 'Young Adult Contemporary', 'Realistic Fiction', 'Mystery']"
The Golden Notebook,Doris Lessing,"['Fiction', 'Classics', 'Feminism', 'Literature', 'Novels', 'Nobel Prize', 'Literary Fiction']"
The Invention of Nature: Alexander von Humboldt's New World,Andrea Wulf,"['Nonfiction', 'Science', 'History', 'Biography', 'Nature', 'Environment', 'Natural History']"
"Eeny Meeny (Helen Grace, #1)",M.J. Arlidge,"['Thriller', 'Crime', 'Mystery', 'Fiction', 'Mystery Thriller', 'Suspense', 'Detective']"
Orion Surfacing,I. James Forrest,[]
Forward the Foundation (Foundation: Prequel #2),Isaac Asimov,"['Science Fiction', 'Fiction', 'Classics', 'Science Fiction Fantasy', 'Fantasy', 'Space Opera', 'Novels']"
The Life-Changing Manga of Tidying Up,Marie Kondō,"['Manga', 'Nonfiction', 'Graphic Novels', 'Self Help', 'Comics', 'Japan', 'Adult']"
It's All Too Much: An Easy Plan for Living a Richer Life with Less Stuff,Peter Walsh,"['Nonfiction', 'Self Help', 'Personal Development', 'Psychology', 'How To', 'Audiobook', 'Productivity']"
"Rousseau and Revolution (The Story of Civilization, #10)",Will Durant,"['History', 'Nonfiction', 'Philosophy', 'World History', 'European History', 'Reference', 'France']"
"Five Children and It (Five Children, #1)",E. Nesbit,"['Fantasy', 'Classics', 'Childrens', 'Fiction', 'Middle Grade', 'Young Adult', 'Adventure']"
"The Declaration (The Declaration, #1)",Gemma Malley,"['Young Adult', 'Dystopia', 'Science Fiction', 'Fiction', 'Romance', 'Fantasy', 'Teen']"
The Tortilla Curtain (Penguin Books with Reading Guides),T. Coraghessan Boyle,"['Fiction', 'Contemporary', 'Book Club', 'School', 'Literary Fiction', 'Novels', 'Literature']"
The Longest Day,Cornelius Ryan,"['History', 'Nonfiction', 'War', 'World War II', 'Military Fiction', 'Military History', 'Historical']"
Роковые яйца. Записки юного врача,Mikhail Bulgakov,"['Russia', 'Russian Literature', 'Fiction', 'Classics']"
A Man Named Dave (Dave Pelzer #3),Dave Pelzer,"['Nonfiction', 'Biography', 'Memoir', 'Autobiography', 'Psychology', 'True Story', 'Abuse']"
The Valley of Vision: A Collection of Puritan Prayers and Devotions,Arthur      Bennett,"['Christian', 'Prayer', 'Theology', 'Christianity', 'Christian Living', 'Nonfiction', 'Faith']"
Family Matters,Rohinton Mistry,"['Fiction', 'India', 'Indian Literature', 'Canada', 'Asia', 'Contemporary', 'Literature']"
"The Judgement (Ruin, #3)",Lucian Bane,"['Paranormal', 'Paranormal Romance', 'Fantasy', 'Fantasy Romance', 'Angels', 'Romance', 'Erotica']"
Demented (Sinister Tales Book 1),Anna Gallegos,['Horror']
The House in the Cerulean Sea,T.J. Klune,"['Fantasy', 'Fiction', 'LGBT', 'Romance', 'Young Adult', 'Audiobook', 'Queer']"
The Book Your Church Doesn't Want You to Read,Tim C. Leedom,"['Religion', 'Nonfiction', 'Banned Books', 'History', 'Atheism', 'Spirituality', 'Christian']"
"Vampire Academy Collection (Vampire Academy, #1-3)",Richelle Mead,"['Vampires', 'Young Adult', 'Fantasy', 'Paranormal', 'Romance', 'Supernatural', 'Paranormal Romance']"
"The Vampire's Assistant (Cirque du Freak, #2)",Darren Shan,"['Fantasy', 'Young Adult', 'Horror', 'Vampires', 'Fiction', 'Paranormal', 'Supernatural']"
The Introvert Advantage: How to Thrive in an Extrovert World,Marti Olsen Laney,"['Nonfiction', 'Psychology', 'Self Help', 'Personal Development', 'Business', 'Sociology', 'Science']"
"Murder in Mesopotamia (Hercule Poirot, #14)",Agatha Christie,"['Mystery', 'Fiction', 'Crime', 'Classics', 'Detective', 'Mystery Thriller', 'Audiobook']"
"Simple Genius (Sean King & Michelle Maxwell, #3)",David Baldacci,"['Fiction', 'Mystery', 'Thriller', 'Crime', 'Suspense', 'Mystery Thriller', 'Audiobook']"
The Whipping Boy,Sid Fleischman,"['Historical Fiction', 'Fiction', 'Childrens', 'Young Adult', 'Middle Grade', 'Classics', 'Adventure']"
The Miracle of Forgiveness,Spencer W. Kimball,"['Religion', 'Lds', 'Nonfiction', 'Church', 'Spirituality', 'Self Help', 'Inspirational']"
Bet Me,Jennifer Crusie,"['Romance', 'Chick Lit', 'Contemporary Romance', 'Contemporary', 'Fiction', 'Humor', 'Adult']"
The Collected Poems of Emily Dickinson,Emily Dickinson,"['Poetry', 'Classics', 'Fiction', 'Literature', 'American', '19th Century', 'Collections']"
Magic Alex and the Secret History of Rock and Roll,Harry F. MacDonald,"['Contemporary', 'Fiction', 'Drama', 'Novels']"
"Dearly Devoted Dexter (Dexter, #2)",Jeff Lindsay,"['Fiction', 'Mystery', 'Thriller', 'Crime', 'Horror', 'Suspense', 'Mystery Thriller']"
"The Lady in Gold: The Extraordinary Tale of Gustav Klimt's Masterpiece, Portrait of Adele Bloch-Bauer",Anne-Marie  O'Connor,"['Nonfiction', 'Art', 'History', 'Art History', 'Biography', 'World War II', 'Historical']"
Ironweed,William  Kennedy,"['Fiction', 'Historical Fiction', 'Classics', 'Literature', 'Novels', 'American', '20th Century']"
"The Fifth Sacred Thing (Maya Greenwood, #1)",Starhawk,"['Fiction', 'Fantasy', 'Science Fiction', 'Spirituality', 'Dystopia', 'Feminism', 'Speculative Fiction']"
Spencerville,Nelson DeMille,"['Fiction', 'Thriller', 'Mystery', 'Suspense', 'Mystery Thriller', 'Romance', 'Crime']"
Why Be Happy When You Could Be Normal?,Jeanette Winterson,"['Memoir', 'Nonfiction', 'LGBT', 'Biography', 'Queer', 'Biography Memoir', 'Autobiography']"
Nana,Émile Zola,"['Classics', 'Fiction', 'France', 'French Literature', '19th Century', 'Literature', 'Historical Fiction']"
Honey the Hero,Emlyn Chand,['Childrens']
The Raging Quiet,Sherryl Jordan,"['Historical Fiction', 'Young Adult', 'Romance', 'Historical', 'Fiction', 'Fantasy', 'Historical Romance']"
The Importance of Being Earnest and Other Plays,Oscar Wilde,"['Classics', 'Plays', 'Fiction', 'Drama', 'Literature', 'Theatre', 'Humor']"
"Meeting Mr. Mogul: A CEO Billionaire Contemporary Romance (Mogul, #1)",Mel Ryle,"['Romance', 'Contemporary']"
The Lone Ranger and Tonto Fistfight in Heaven,Sherman Alexie,"['Fiction', 'Short Stories', 'Humor', 'Literature', 'Contemporary', 'Young Adult', 'Adult Fiction']"
"A Gathering of Shadows (Shades of Magic, #2)",V.E. Schwab,"['Fantasy', 'Fiction', 'Young Adult', 'Magic', 'Adult', 'Audiobook', 'Romance']"
Shot to Pieces,Michael  O'Keefe,"['Young Adult', 'Fiction', 'Adult', 'Crime', 'Thriller', 'Novels', 'New Adult']"
The Brethren,John Grisham,"['Fiction', 'Thriller', 'Mystery', 'Legal Thriller', 'Suspense', 'Crime', 'Mystery Thriller']"
"Truthwitch (The Witchlands, #1)",Susan Dennard,"['Fantasy', 'Young Adult', 'Magic', 'Young Adult Fantasy', 'Romance', 'Witches', 'High Fantasy']"
The Rise of Nazil: Complete Epic Fantasy Trilogy: Gritty Epic Fantasy,Aaron-Michael Hall,['Fantasy']
The History Boys,Alan Bennett,"['Plays', 'Drama', 'Fiction', 'LGBT', 'Theatre', 'Classics', 'British Literature']"
"The Oresteia: Agamemnon, The Libation Bearers, The Eumenides",Aeschylus,"['Classics', 'Plays', 'Drama', 'Fiction', 'Mythology', 'Poetry', 'Literature']"
"Echo Burning (Jack Reacher, #5)",Lee Child,"['Thriller', 'Fiction', 'Mystery', 'Crime', 'Action', 'Suspense', 'Mystery Thriller']"
"The Tangle Box (Magic Kingdom of Landover, #4)",Terry Brooks,"['Fantasy', 'Fiction', 'Science Fiction Fantasy', 'Epic Fantasy', 'High Fantasy', 'Magic', 'Adventure']"
The Scarlet Thread,Francine Rivers,"['Christian Fiction', 'Fiction', 'Christian', 'Historical Fiction', 'Romance', 'Contemporary', 'Novels']"
Nasty People,Jay Carter,"['Self Help', 'Psychology', 'Nonfiction', 'Relationships', 'Personal Development', 'Communication']"
Secret Fire,Johanna Lindsey,"['Historical Romance', 'Romance', 'Historical', 'Fiction', 'Historical Fiction', 'Regency', 'Adult']"
Life and Death in Shanghai,Nien Cheng,"['China', 'Nonfiction', 'History', 'Memoir', 'Biography', 'Asia', 'Biography Memoir']"
"Use of Weapons (Culture, #3)",Iain M. Banks,"['Science Fiction', 'Fiction', 'Space Opera', 'Science Fiction Fantasy', 'Cultural', 'Fantasy', 'Space']"
"Effortless (Thoughtless, #2)",S.C. Stephens,"['Romance', 'New Adult', 'Contemporary Romance', 'Contemporary', 'Music', 'College', 'Young Adult']"
Maximum Achievement: Strategies and Skills That Will Unlock Your Hidden Powers to Succeed,Brian Tracy,"['Self Help', 'Personal Development', 'Nonfiction', 'Business', 'Productivity', 'Psychology', 'Leadership']"
This Changes Everything: Capitalism vs. The Climate,Naomi Klein,"['Nonfiction', 'Politics', 'Environment', 'Science', 'Economics', 'Climate Change', 'Sustainability']"
Conscious Parenting: Mindful Living Course for Parents (AoL Mindfulness #5),Nataša Pantović,"['Parenting', 'Self Help', 'Nonfiction', 'Psychology', 'Spirituality', 'Childrens', 'Adult']"
Attachments,Rainbow Rowell,"['Romance', 'Fiction', 'Contemporary', 'Chick Lit', 'Adult', 'Young Adult', 'Adult Fiction']"
Citizen: An American Lyric,Claudia Rankine,"['Poetry', 'Nonfiction', 'Race', 'Essays', 'Social Justice', 'Politics', 'Anti Racist']"
"We Are Legion (We Are Bob) (Bobiverse, #1)",Dennis E. Taylor,"['Science Fiction', 'Fiction', 'Audiobook', 'Space Opera', 'Humor', 'Fantasy', 'Space']"
The Heart's Invisible Furies,John Boyne,"['Historical Fiction', 'Fiction', 'LGBT', 'Ireland', 'Historical', 'Literary Fiction', 'Audiobook']"
"Oathbringer (The Stormlight Archive, #3)",Brandon Sanderson,"['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Audiobook', 'Adult', 'Magic']"
The Forgotten Hours,Katrin Schumann,"['Fiction', 'Contemporary', 'Mystery', 'Thriller', 'Mystery Thriller', 'Crime', 'Drama']"
"A Closed and Common Orbit (Wayfarers, #2)",Becky  Chambers,"['Science Fiction', 'Fiction', 'Space Opera', 'Audiobook', 'Queer', 'Space', 'LGBT']"
"2nd Chance (Women's Murder Club, #2)",James Patterson,"['Mystery', 'Fiction', 'Crime', 'Thriller', 'Suspense', 'Mystery Thriller', 'Murder Mystery']"
Iola O,G.M. Monks,[]
The Summons,John Grisham,"['Fiction', 'Mystery', 'Thriller', 'Legal Thriller', 'Suspense', 'Crime', 'Mystery Thriller']"
The fifth agreement,Miguel Ruiz,"['Self Help', 'Spirituality', 'Nonfiction', 'Philosophy', 'Personal Development', 'Psychology', 'Inspirational']"
"Half Magic (Tales of Magic, #1)",Edward Eager,"['Fantasy', 'Childrens', 'Fiction', 'Middle Grade', 'Classics', 'Young Adult', 'Magic']"
The Far Side Gallery,Gary Larson,"['Comics', 'Humor', 'Graphic Novels', 'Fiction', 'Comedy', 'Comic Strips', 'Graphic Novels Comics']"
Collected Poems,Ted Hughes,"['Poetry', 'Classics', 'Fiction', 'British Literature', 'Literature', '20th Century', 'Nature']"
I'd Rather Be Riding My Bike,Eric Pinder,[]
3001: The Final Odyssey,Arthur C. Clarke,"['Science Fiction', 'Fiction', 'Science Fiction Fantasy', 'Classics', 'Space', 'Adventure', 'Fantasy']"
"Persepolis, Volume 1",Marjane Satrapi,"['Graphic Novels', 'Comics', 'Nonfiction', 'Memoir', 'Biography', 'Bande Dessinée', 'History']"
Rose Under Fire,Elizabeth Wein,"['Historical Fiction', 'Young Adult', 'Historical', 'Fiction', 'World War II', 'War', 'Holocaust']"
"Rivers of London (Rivers of London, #1)",Ben Aaronovitch,"['Fantasy', 'Urban Fantasy', 'Mystery', 'Fiction', 'Crime', 'Paranormal', 'Magic']"
"Morning Star (Red Rising Saga, #3)",Pierce Brown,"['Science Fiction', 'Fantasy', 'Fiction', 'Dystopia', 'Young Adult', 'Audiobook', 'Adult']"
Dangerous Girls,Abigail Haas,"['Young Adult', 'Mystery', 'Thriller', 'Contemporary', 'Mystery Thriller', 'Fiction', 'Crime']"
"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",Bessel van der Kolk,"['Nonfiction', 'Psychology', 'Self Help', 'Mental Health', 'Health', 'Science', 'Audiobook']"
Silent Pantheon,Eric Nierstedt,[]
The Perfect Nanny,Leïla Slimani,"['Fiction', 'Thriller', 'Mystery', 'France', 'Contemporary', 'Mystery Thriller', 'Crime']"
The Rule of Four,Ian Caldwell,"['Fiction', 'Mystery', 'Thriller', 'Historical Fiction', 'Mystery Thriller', 'Suspense', 'Books About Books']"
"The Confessor (Gabriel Allon, #3)",Daniel Silva,"['Fiction', 'Thriller', 'Mystery', 'Espionage', 'Mystery Thriller', 'Suspense', 'Spy Thriller']"
The Mindful Way through Depression: Freeing Yourself from Chronic Unhappiness,J. Mark G. Williams,"['Psychology', 'Self Help', 'Nonfiction', 'Mental Health', 'Health', 'Personal Development', 'Spirituality']"
Rebel Queen,Michelle Moran,"['Historical Fiction', 'Fiction', 'Historical', 'India', 'Romance', 'Adult', 'Adult Fiction']"
"Lilith's Brood (Xenogenesis, #1-3)",Octavia E. Butler,"['Science Fiction', 'Fiction', 'Fantasy', 'Science Fiction Fantasy', 'Post Apocalyptic', 'Speculative Fiction', 'Aliens']"
Possessing the Secret of Joy,Alice Walker,"['Fiction', 'Feminism', 'African American', 'Africa', 'Classics', 'Historical Fiction', 'Literature']"
The Memory of Running,Ron McLarty,"['Fiction', 'Contemporary', 'Novels', 'Audiobook', 'Book Club', 'Adult Fiction', 'Mental Illness']"
The Good German,Joseph Kanon,"['Historical Fiction', 'Fiction', 'Mystery', 'World War II', 'Thriller', 'Germany', 'Historical']"
"Spring Snow (The Sea of Fertility, #1)",Yukio Mishima,"['Fiction', 'Japan', 'Japanese Literature', 'Historical Fiction', 'Classics', 'Literature', 'Asia']"
Rage,Richard Bachman,"['Horror', 'Fiction', 'Thriller', 'Crime', 'Novels', 'Suspense', 'Short Stories']"
"Red Notice: A True Story of High Finance, Murder, and One Man's Fight for Justice",Bill Browder,"['Nonfiction', 'Politics', 'History', 'Russia', 'Biography', 'Business', 'Memoir']"
"Sourcery (Discworld, #5; Rincewind, #3)",Terry Pratchett,"['Fantasy', 'Fiction', 'Humor', 'Comedy', 'Science Fiction Fantasy', 'Magic', 'Audiobook']"
The Grave Tattoo,Val McDermid,"['Mystery', 'Crime', 'Fiction', 'Thriller', 'Mystery Thriller', 'Audiobook', 'British Literature']"
A Guide to the Good Life: The Ancient Art of Stoic Joy,William B. Irvine,"['Philosophy', 'Nonfiction', 'Self Help', 'Psychology', 'Personal Development', 'Spirituality', 'History']"
"Persepolis Rising (The Expanse, #7)",James S.A. Corey,"['Science Fiction', 'Fiction', 'Space Opera', 'Audiobook', 'Space', 'Science Fiction Fantasy', 'Fantasy']"
Traveling Light,Max Lucado,"['Christian', 'Nonfiction', 'Christianity', 'Christian Non Fiction', 'Christian Living', 'Spirituality', 'Religion']"
Nathan der Weise,Gotthold Ephraim Lessing,"['Classics', 'German Literature', 'School', 'Plays', 'Fiction', 'Drama', 'Read For School']"
The Fox and The Hound,Daniel P. Mannix,"['Classics', 'Fiction', 'Animals', 'Childrens', 'Animal Fiction', 'Dogs', 'Fantasy']"
Einstein's Dreams,Alan Lightman,"['Fiction', 'Short Stories', 'Philosophy', 'Science Fiction', 'Historical Fiction', 'Fantasy', 'Physics']"
The Madman,Kahlil Gibran,"['Poetry', 'Philosophy', 'Fiction', 'Classics', 'Short Stories', 'Literature', 'Spirituality']"
"Untamed (Medieval, #1)",Elizabeth Lowell,"['Historical Romance', 'Romance', 'Historical', 'Medieval', 'Medieval Romance', 'Historical Fiction', 'Fiction']"
"Hallowed (Unearthly, #2)",Cynthia Hand,"['Young Adult', 'Angels', 'Fantasy', 'Paranormal', 'Romance', 'Paranormal Romance', 'Supernatural']"
"The Murders in the Rue Morgue: The Dupin Tales (C. Auguste Dupin, #1-3)",Edgar Allan Poe,"['Classics', 'Mystery', 'Fiction', 'Short Stories', 'Horror', 'Crime', 'Mystery Thriller']"
Free Will [Deckle Edge],Sam Harris,"['Philosophy', 'Nonfiction', 'Psychology', 'Science', 'Religion', 'Neuroscience', 'Atheism']"
The Sicilian,Mario Puzo,"['Fiction', 'Crime', 'Thriller', 'Classics', 'Historical Fiction', 'Mystery', 'Novels']"
"Snuff (Discworld, #39; City Watch, #8)",Terry Pratchett,"['Fantasy', 'Fiction', 'Humor', 'Comedy', 'Audiobook', 'Mystery', 'Science Fiction Fantasy']"
How to Live on 24 Hours a Day,Arnold Bennett,"['Self Help', 'Nonfiction', 'Philosophy', 'Productivity', 'Personal Development', 'Classics', 'Psychology']"
The Path to Power,Robert A. Caro,"['Biography', 'History', 'Nonfiction', 'Politics', 'Presidents', 'American History', 'Biography Memoir']"
Be Still and Listen: Experience the Presence of God in Your Life,Amos Smith,"['Christianity', 'Spirituality', 'Nonfiction', 'New Adult', 'Faith', 'Contemporary', 'Adult']"
The Snow Gypsy,Lindsay Ashford,"['Historical Fiction', 'Fiction', 'Historical', 'Spain', 'War', 'World War II', 'Amazon']"
"Deep Storm (Jeremy Logan, #1)",Lincoln Child,"['Thriller', 'Fiction', 'Mystery', 'Science Fiction', 'Adventure', 'Suspense', 'Mystery Thriller']"
Focus: The Hidden Driver of Excellence,Daniel Goleman,"['Psychology', 'Nonfiction', 'Self Help', 'Business', 'Personal Development', 'Productivity', 'Leadership']"
Quarantina,Wayne Tatum,"['Contemporary', 'Novels', 'Fiction']"
There Was an Old Lady Who Swallowed a Fly,Simms Taback,"['Picture Books', 'Childrens', 'Poetry', 'Fiction', 'Animals', 'Humor', 'Fantasy']"
Philosophy: Who Needs It,Ayn Rand,"['Philosophy', 'Nonfiction', 'Politics', 'Classics', 'History', 'Economics', 'Essays']"
"Tehanu (Earthsea Cycle, #4)",Ursula K. Le Guin,"['Fantasy', 'Fiction', 'Young Adult', 'Science Fiction Fantasy', 'High Fantasy', 'Dragons', 'Magic']"
"Castle in the Air (Howl's Moving Castle, #2)",Diana Wynne Jones,"['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Middle Grade', 'Childrens', 'Adventure']"
"Witch Child (Witch Child, #1)",Celia Rees,"['Historical Fiction', 'Young Adult', 'Fantasy', 'Historical', 'Fiction', 'Witches', 'Paranormal']"
The Solitude of Prime Numbers,Paolo Giordano,"['Fiction', 'Contemporary', 'Italian Literature', 'Romance', 'Italy', 'Novels', 'Young Adult']"
"Dog Days (Diary of a Wimpy Kid, #4)",Jeff Kinney,"['Fiction', 'Humor', 'Middle Grade', 'Childrens', 'Realistic Fiction', 'Graphic Novels', 'Young Adult']"
Fearless: The Undaunted Courage and Ultimate Sacrifice of Navy SEAL Team SIX Operator Adam Brown,Eric Blehm,"['Nonfiction', 'Biography', 'Military Fiction', 'History', 'War', 'Biography Memoir', 'Christian']"
"Among the Betrayed (Shadow Children, #3)",Margaret Peterson Haddix,"['Young Adult', 'Dystopia', 'Science Fiction', 'Fiction', 'Middle Grade', 'Childrens', 'Fantasy']"
Scar Tissue,Anthony Kiedis,"['Music', 'Nonfiction', 'Biography', 'Memoir', 'Autobiography', 'Biography Memoir', 'Audiobook']"
Make Something Up: Stories You Can't Unread,Chuck Palahniuk,"['Short Stories', 'Fiction', 'Horror', 'Humor', 'Banned Books', 'Anthologies', 'Short Story Collection']"
Heart of a Warrior Angel,Lali A.  Love,['Fantasy']
Talk Like TED: The 9 Public-Speaking Secrets of the World's Top Minds,Carmine Gallo,"['Nonfiction', 'Business', 'Self Help', 'Communication', 'Personal Development', 'Leadership', 'Psychology']"
"Dust (Silo, #3)",Hugh Howey,"['Science Fiction', 'Fiction', 'Dystopia', 'Post Apocalyptic', 'Fantasy', 'Science Fiction Fantasy', 'Apocalyptic']"
Secrets: in a corrupted society,Dennis K.  Hausker,[]
com نسيان,Ahlam Mosteghanemi,"['Novels', 'Romance', 'Fiction', 'Feminism', 'Literature', 'Love', 'Self Help']"
The Axion Esti,Odysseas Elytis,"['Poetry', 'Nobel Prize', 'Greece', 'Classics', '20th Century', 'Fiction', 'Literature']"
"The Autobiography of Henry VIII: With Notes by His Fool, Will Somers",Margaret George,"['Historical Fiction', 'Fiction', 'Historical', 'Tudor Period', 'British Literature', '16th Century', 'Medieval']"
The Red Queen: Sex and the Evolution of Human Nature,Matt Ridley,"['Science', 'Nonfiction', 'Biology', 'Evolution', 'Psychology', 'Sexuality', 'Anthropology']"
Washington: A Life,Ron Chernow,"['Biography', 'History', 'Nonfiction', 'Presidents', 'American History', 'Politics', 'American Revolution']"
"Vampire Chronicles: Interview with the Vampire, The Vampire Lestat, The Queen of the Damned",Anne Rice,"['Horror', 'Fiction', 'Fantasy', 'Vampires', 'Classics', 'Paranormal', 'Urban Fantasy']"
The Runaway Bunny,Margaret Wise Brown,"['Picture Books', 'Childrens', 'Fiction', 'Classics', 'Animals', 'Family', 'Rabbits']"
Life is Elsewhere,Milan Kundera,"['Fiction', 'Czech Literature', 'Novels', 'Literature', 'Classics', 'Philosophy', 'Literary Fiction']"
The Sweetest Kill,Amber Kalkes,"['Vampires', 'Romance', 'Adult', 'Fantasy']"
The Sea Wolf,Jack London,"['Classics', 'Fiction', 'Adventure', 'Literature', 'Historical Fiction', 'Novels', 'American']"
Stillness Speaks,Eckhart Tolle,"['Spirituality', 'Nonfiction', 'Self Help', 'Philosophy', 'Psychology', 'Personal Development', 'Religion']"
"Austenland (Austenland, #1)",Shannon Hale,"['Romance', 'Fiction', 'Chick Lit', 'Contemporary', 'Adult', 'Adult Fiction', 'Humor']"
"Cold Days (The Dresden Files, #14)",Jim Butcher,"['Fantasy', 'Urban Fantasy', 'Fiction', 'Mystery', 'Paranormal', 'Magic', 'Audiobook']"
An American Marriage,Tayari Jones,"['Fiction', 'Contemporary', 'Audiobook', 'Literary Fiction', 'Romance', 'Adult', 'Adult Fiction']"
All's Well That Ends Well,William Shakespeare,"['Classics', 'Plays', 'Drama', 'Fiction', 'Theatre', 'Literature', 'Poetry']"
"The Keepsake (Rizzoli & Isles, #7)",Tess Gerritsen,"['Mystery', 'Thriller', 'Crime', 'Fiction', 'Mystery Thriller', 'Suspense', 'Detective']"
The Book of Daniel,E.L. Doctorow,"['Fiction', 'Historical Fiction', 'Novels', 'Literature', 'Classics', 'American', 'Literary Fiction']"
