index_code,expenditure_on _education_pct_gdp,mortality_rate_infant,gini_index,gdp_per_capita_ppp,inflation_consumer_prices,intentional_homicides,unemployment,gross_fixed_capital_formation,population_density,suicide_mortality_rate,tax_revenue,taxes_on_income_profits_capital,alcohol_consumption_per_capita,government_health_expenditure_pct_gdp,urban_population_pct_total,country,time,sex,rating
EST-2012,4.71772003173828,3.1,32.9,25996.04677795081,3.93339987296985,4.76304962190459,10.021,28.71008147602329,31.203019580089645,21.1,19.952075947990817,18.21270310192024,,4.44167042,67.974,EST,2012,BOY,523.214
ITA-2018,4.25614023208618,2.7,35.2,43036.24377703666,1.13748763600391,0.599558175726844,10.61,17.846136979793055,204.32222590440887,6.7,24.238180702263847,31.38561751941881,,6.41253042,70.438,ITA,2018,BOY,494.0
ISL-2015,7.4579701423645,2.1,26.8,49201.064096455295,1.63305558181326,0.906181517219714,3.979,19.333024810776948,3.2999002493765586,14.3,22.689444117931423,27.97337190943436,7.84791,6.52118731,93.7,ISL,2015,TOT,488.0
MEX-2015,5.22942018508911,13.9,,19217.8587908168,2.72064064964023,17.2800813969903,4.311,23.164183001272644,61.80709226060341,5.6,12.345975783405413,34.72228312474566,5.15441,2.98734331,79.285,MEX,2015,TOT,408.0
KOR-2006,,4.4,31.7,26884.26732833584,2.24234028518921,0.865105342912209,3.254,30.49343104599585,499.98236994219656,23.7,13.727535211512713,29.29215340137672,,2.91707134,81.528,KOR,2006,GIRL,543.0
EST-2012,4.71772003173828,3.1,32.9,25996.04677795081,3.93339987296985,4.76304962190459,10.021,28.71008147602329,31.203019580089645,21.1,19.952075947990817,18.21270310192024,,4.44167042,67.974,EST,2012,GIRL,517.93
JPN-2015,3.22902536392212,2.0,,40898.80697396,0.795279630579839,0.285263134377176,3.385,24.97145617465717,348.8093278463649,19.1,,,6.71821,9.03866768,91.381,JPN,2015,BOY,539.0
BEL-2012,6.25576496124268,3.5,27.5,42290.76205200192,2.83966343445899,,7.542,22.96188745663556,366.8075297225892,20.8,25.82414125006117,35.36614635594188,,8.02982998,97.744,BEL,2012,GIRL,508.935
LUX-2009,4.86713409423828,2.4,31.2,86876.71964292895,0.368041997888887,1.00428225955474,5.122,18.01924741867268,193.3543345012158,11.3,23.8391085158098,28.34604489696396,,6.02683735,88.178,LUX,2009,TOT,489.0
LUX-2012,3.87815999984741,2.3,34.3,96636.426643956,2.66284165508021,0.0,5.14,19.177531611302854,206.235870823396,11.3,24.4278271542178,28.83739578800068,,4.4276371,89.249,LUX,2012,TOT,490.0
