Title,Average Rating,Director,Budget
Lawrence of Arabia,8.3,David Lean,"$15,000,000 (estimated)"
Up,8.3,"Pete Docter, Bob Peterson","$175,000,000 (estimated)"
Star Wars: Episode VI - Return of the Jedi,8.3,Richard Marquand,"$32,500,000 (estimated)"
Mononoke-hime,8.3,Hayao Miyazaki,"¥2,400,000,000 (estimated)"
Double Indemnity,8.3,Billy Wilder,"$927,262 (estimated)"
North by Northwest,8.3,Alfred Hitchcock,"$3,101,000 (estimated)"
Toy Story 3,8.3,Lee Unkrich,"$200,000,000 (estimated)"
Metropolis,8.3,Fritz Lang,"DEM 6,000,000 (estimated)"
Citizen Kane,8.3,Orson Welles,"$839,727 (estimated)"
Vertigo,8.3,Alfred Hitchcock,"$2,479,000 (estimated)"
To Kill a Mockingbird,8.3,Robert Mulligan,"$2,000,000 (estimated)"
The Apartment,8.3,Billy Wilder,"$3,000,000 (estimated)"
Singin' in the Rain,8.3,"Stanley Donen, Gene Kelly","$2,540,800 (estimated)"
The Sting,8.3,George Roy Hill,"$5,500,000 (estimated)"
Jodaeiye Nader Az Simin,8.3,Asghar Farhadi,"$500,000 (estimated)"
Dangal,8.3,Nitesh Tiwari,"₹700,000,000 (estimated)"
M - Eine Stadt sucht einen Mörder,8.3,Fritz Lang,
Ikiru,8.3,Akira Kurosawa,
Judgment at Nuremberg,8.3,Stanley Kramer,"$3,000,000 (estimated)"
Taare Zameen Par,8.3,"Aamir Khan, Amole Gupte",
Voyna i mir,8.3,Sergey Bondarchuk,"RUR 8,000,000 (estimated)"
Ladri Di Biciclette,8.3,Vittorio De Sica,"$133,000 (estimated)"
Shershaah,8.3,Vishnuvardhan,
Vikram,8.3,Lokesh Kanagaraj,"₹1,500,000,000 (estimated)"
Sardar Udham,8.3,Shoojit Sircar,
Man with a Movie Camera,8.3,Dziga Vertov,
Chhichhore,8.3,Nitesh Tiwari,
Violet Evergarden: The Movie,8.3,Taichi Ishidate,
The Rescue,8.3,"Jimmy Chin, Elizabeth Chai Vasarhelyi",
Ratsasan,8.3,Ram Kumar,
Dil Bechara,8.3,Mukesh Chhabra,
Viduthalai Part 1,8.3,Vetrimaaran,
To Live,8.3,Yimou Zhang,
Akahige,8.3,Akira Kurosawa,
Drishyam,8.3,Jeethu Joseph,"₹35,000,000 (estimated)"
Children of Paradise,8.3,Marcel Carné,
Scener ur ett äktenskap,8.3,Ingmar Bergman,
Hoop Dreams,8.3,Steve James,"$700,000 (estimated)"
Letyat zhuravli,8.3,Mikhail Kalatozov,
The Look of Silence,8.3,Joshua Oppenheimer,
Jana Gana Mana,8.3,Dijo Jose Antony,"₹100,000,000 (estimated)"
Premam,8.3,Alphonse Puthren,
2018,8.3,Jude Anthany Joseph,"₹300,000,000 (estimated)"
Jôi-uchi: Hairyô tsuma shimatsu,8.3,Masaki Kobayashi,
Won't You Be My Neighbor?,8.3,Morgan Neville,
Brilliantovaya ruka,8.3,Leonid Gaidai,
Bangalore Days,8.3,Anjali Menon,
Satya,8.3,Ram Gopal Varma,
Uçurtmayi Vurmasinlar,8.3,Tunç Basaran,
Nayak,8.3,Satyajit Ray,
"Kavkazskaya Plennitsa, Ili Novye Priklyucheniya Shurika",8.3,Leonid Gaidai,"RUR 25,313 (estimated)"
Winter on Fire: Ukraine's Fight for Freedom,8.3,Evgeny Afineevsky,
Maheshinte Prathikaram,8.3,Dileesh Pothan,
Mahanagar,8.3,Satyajit Ray,
Mrtav 'ladan,8.3,Milorad Milinkovic,
Gekijôban Shingeki no Kyojin Season 2: Kakusei no hôkô,8.3,Masashi Koizuka,
Anniyan,8.3,S. Shankar,"₹280,000,000 (estimated)"
Vuk,8.3,Attila Dargay,
