Title,Average Rating,Director,Budget
Coal Miner's Daughter,7.5,Michael Apted,
Fruitvale Station,7.5,Ryan Coogler,"$900,000 (estimated)"
10 Rillington Place,7.5,Richard Fleischer,
The Spy Who Came in from the Cold,7.5,Martin Ritt,
The Picture of Dorian Gray,7.5,Albert Lewin,"$3,500,000 (estimated)"
Teströl És Lélekröl,7.5,Ildikó Enyedi,
The Lady from Shanghai,7.5,Orson Welles,"$2,300,000 (estimated)"
The Collector,7.5,William Wyler,
The Imposter,7.5,Bart Layton,
The Man Who Came to Dinner,7.5,William Keighley,"$1,050,000 (estimated)"
Whale Rider,7.5,Niki Caro,"$3,500,000 (estimated)"
Ratcatcher,7.5,Lynne Ramsay,"$30,000 (estimated)"
Ballon,7.5,Michael Herbig,
The Phantom of the Opera,7.5,"Rupert Julian, Lon Chaney, Ernst Laemmle",
Out in the Dark,7.5,Michael Mayer,
Le Souffle Au Coeur,7.5,Louis Malle,
Miss Lovely,7.5,Ashim Ahluwalia,
Sheytan vojud nadarad,7.5,Mohammad Rasoulof,
Like Aani Subscribe,7.5,Abhishek Merukar,"₹20,000,000 (estimated)"
Brothers,7.5,Susanne Bier,
Yip Man 2,7.5,Wilson Yip,"$12,902,809 (estimated)"
Tickled,7.5,"David Farrier, Dylan Reeve",
Fresh,7.5,Boaz Yakin,"$3,500,000 (estimated)"
"Hush...Hush, Sweet Charlotte",7.5,Robert Aldrich,"$2,235,000 (estimated)"
Wuthering Heights,7.5,William Wyler,
Fahrenheit 9/11,7.5,Michael Moore,"$6,000,000 (estimated)"
A Hero,7.5,Asghar Farhadi,
Lazzaro felice,7.5,Alice Rohrwacher,"€5,200,000 (estimated)"
Mystery Train,7.5,Jim Jarmusch,"$2,800,000 (estimated)"
Living in Oblivion,7.5,Tom DiCillo,"$500,000 (estimated)"
Children's Games,7.5,Yann Samuell,
Umimachi Diary,7.5,Hirokazu Koreeda,
Remember,7.5,Atom Egoyan,"CA$13,000,000 (estimated)"
Berserk: Ougon Jidai-hen I - Haou no Tamago,7.5,Toshiyuki Kubooka,
Husbands and Wives,7.5,Woody Allen,"$20,000,000 (estimated)"
Neru,7.5,Jeethu Joseph,
Jui kuen II,7.5,"Chia-Liang Liu, Jackie Chan","$10,000,000 (estimated)"
Revanche,7.5,Götz Spielmann,
Lenny,7.5,Bob Fosse,"$2,700,000 (estimated)"
No se aceptan devoluciones,7.5,Eugenio Derbez,"$5,000,000 (estimated)"
All the Beauty and the Bloodshed,7.5,Laura Poitras,
Europa,7.5,Lars von Trier,"DKK 28,000,000 (estimated)"
Flickering Lights,7.5,Anders Thomas Jensen,
The Flight of the Phoenix,7.5,Robert Aldrich,"$5,355,000 (estimated)"
The Naked City,7.5,Jules Dassin,
Le conseguenze dell'amore,7.5,Paolo Sorrentino,"€2,000,000 (estimated)"
Support Your Local Sheriff!,7.5,Burt Kennedy,"$750,000 (estimated)"
Chup,7.5,R Balki,
How to Steal a Million,7.5,William Wyler,"$6,000,000 (estimated)"
"Suddenly, Last Summer",7.5,Joseph L. Mankiewicz,"$3,000,000 (estimated)"
Lilies of the Field,7.5,Ralph Nelson,"$240,000 (estimated)"
Evangelion Shin Gekijôban: Jo,7.5,"Hiroshi Haraguchi, Masayuki, Kazuya Tsurumaki",
La tortue rouge,7.5,Michael Dudok de Wit,
All About Lily Chou-Chou,7.5,Shunji Iwai,
The Blue Caftan,7.5,Maryam Touzani,
J'ai Perdu Mon Corps,7.5,Jérémy Clapin,
The Namesake,7.5,Mira Nair,"$9,500,000 (estimated)"
Sånger från andra våningen,7.5,Roy Andersson,
Sunshine,7.5,István Szabó,"CA$26,000,000 (estimated)"
Sudden Fear,7.5,David Miller,"$720,000 (estimated)"
Swept Away,7.5,Lina Wertmüller,
Burning Days,7.5,Emin Alper,
Dinner at Eight,7.5,George Cukor,"$435,000 (estimated)"
Away from Her,7.5,Sarah Polley,"CA$4,000,000 (estimated)"
Charley Varrick,7.5,Don Siegel,
Frantz,7.5,François Ozon,"€9,474,971 (estimated)"
Golmaal: Fun Unlimited,7.5,Rohit Shetty,"₹150,000,000 (estimated)"
Blue Collar,7.5,Paul Schrader,"$1,700,000 (estimated)"
Cyrano de Bergerac,7.5,Jean-Paul Rappeneau,"FRF 100,000,000 (estimated)"
The Bitter Tears of Petra Von Kant,7.5,Rainer Werner Fassbinder,"DEM 325,000 (estimated)"
Elsker dig for evigt,7.5,Susanne Bier,
Mr. Klein,7.5,Joseph Losey,"$3,500,000 (estimated)"
Sonachine,7.5,Takeshi Kitano,
A Man and a Woman,7.5,Claude Lelouch,
Dead of Night,7.5,"Alberto Cavalcanti, Charles Crichton, Basil Dearden",
OMG 2,7.5,Amit Rai,"₹500,000,000 (estimated)"
Great Freedom,7.5,Sebastian Meise,
La Cérémonie,7.5,Claude Chabrol,
The Nun's Story,7.5,Fred Zinnemann,"$3,500,000 (estimated)"
The Harder They Fall,7.5,Mark Robson,
Lunana: A Yak in the Classroom,7.5,Pawo Choyning Dorji,
The Hitter,7.5,Gordon Chan,
The Damned United,7.5,Tom Hooper,"$10,000,000 (estimated)"
Room at the Top,7.5,Jack Clayton,"£280,000 (estimated)"
Submarino,7.5,Thomas Vinterberg,
Baisers volés,7.5,François Truffaut,"$350,000 (estimated)"
L'instinct de mort,7.5,Jean-François Richet,
Uzak,7.5,Nuri Bilge Ceylan,
Since You Went Away,7.5,"John Cromwell, Edward F. Cline, Tay Garnett","$3,257,000 (estimated)"
Europa Europa,7.5,Agnieszka Holland,
All or Nothing,7.5,Mike Leigh,"$9,000,000 (estimated)"
The Lavender Hill Mob,7.5,Charles Crichton,
The Wolf House,7.5,"Joaquín Cociña, Cristóbal León","$245,000 (estimated)"
Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese,7.5,Martin Scorsese,
Ludwig,7.5,Luchino Visconti,
Iron Monkey,7.5,Woo-Ping Yuen,"$11,000,000 (estimated)"
Die Fälscher,7.5,Stefan Ruzowitzky,"€4,200,000 (estimated)"
Dil Se..,7.5,Mani Ratnam,
"Sjecas li se, Dolly Bell",7.5,Emir Kusturica,
One Piece: Stampede,7.5,Takashi Ôtsuka,
Brute Force,7.5,Jules Dassin,
Summer with Monika,7.5,Ingmar Bergman,"SEK 484,000 (estimated)"
Never Cry Wolf,7.5,Carroll Ballard,
Wheel of Fortune and Fantasy,7.5,Ryûsuke Hamaguchi,
Scaramouche,7.5,George Sidney,"$3,500,000 (estimated)"
As It Is in Heaven,7.5,Kay Pollak,"SEK 25,000,000 (estimated)"
The Palm Beach Story,7.5,Preston Sturges,
An Inspector Calls,7.5,Guy Hamilton,
Jane Eyre,7.5,Robert Stevenson,"$1,705,000 (estimated)"
Profumo di donna,7.5,Dino Risi,
Sanatorium pod Klepsydra,7.5,Wojciech Has,
Stories We Tell,7.5,Sarah Polley,
Hum Aapke Hain Koun...!,7.5,Sooraj R. Barjatya,"₹45,000,000 (estimated)"
Bandit Queen,7.5,Shekhar Kapur,
Tokyo Sonata,7.5,Kiyoshi Kurosawa,"$2,500,000 (estimated)"
This Sporting Life,7.5,Lindsay Anderson,
Seksmisja,7.5,Juliusz Machulski,
Vargtimmen,7.5,Ingmar Bergman,
Wadjda,7.5,Haifaa Al-Mansour,
March of the Penguins,7.5,Luc Jacquet,"$8,000,000 (estimated)"
The Mark of Zorro,7.5,Rouben Mamoulian,"$1,000,000 (estimated)"
The Five Heartbeats,7.5,Robert Townsend,"$9,000,000 (estimated)"
Cobain: Montage of Heck,7.5,Brett Morgen,
Omar,7.5,Hany Abu-Assad,"$2,100,000 (estimated)"
The Letter,7.5,William Wyler,
Miryang,7.5,Lee Chang-dong,
The Desperate Hours,7.5,William Wyler,"$2,388,000 (estimated)"
Entre les murs,7.5,Laurent Cantet,
Rurouni Kenshin: Kyoto Inferno,7.5,Keishi Otomo,
Nowhere in Africa,7.5,Caroline Link,"€7,000,000 (estimated)"
Imitation of Life,7.5,John M. Stahl,
The Petrified Forest,7.5,Archie Mayo,"$500,000 (estimated)"
Here Comes Mr. Jordan,7.5,Alexander Hall,
The Talk of the Town,7.5,George Stevens,"$1,000,000 (estimated)"
Bareilly Ki Barfi,7.5,Ashwiny Iyer Tiwari,
Sahara,7.5,Zoltan Korda,
I cento passi,7.5,Marco Tullio Giordana,
The Good Earth,7.5,"Sidney Franklin, Victor Fleming, Gustav Machatý","$2,800,000 (estimated)"
The Summit of the Gods,7.5,Patrick Imbert,
Le père Noël est une ordure,7.5,Jean-Marie Poiré,
Red Cliff II,7.5,John Woo,"$80,000,000 (estimated)"
Baby Face,7.5,Alfred E. Green,"$187,000 (estimated)"
King Rat,7.5,Bryan Forbes,
Monsieur Lazhar,7.5,Philippe Falardeau,
Roger & Me,7.5,Michael Moore,"$160,000 (estimated)"
Medianeras,7.5,Gustavo Taretto,"$11,000,000 (estimated)"
The Mountain,7.5,Alper Caglar,"TRL 170,000 (estimated)"
I Want to Live!,7.5,Robert Wise,"$1,383,578 (estimated)"
Beau Geste,7.5,William A. Wellman,
Manorama Six Feet Under,7.5,Navdeep Singh,
Elling,7.5,Petter Næss,"NOK 15,500,000 (estimated)"
Güeros,7.5,Alonso Ruizpalacios,
La fille sur le pont,7.5,Patrice Leconte,
Sardar,7.5,P.S. Mithran,
Get Real,7.5,Simon Shore,
Tanhaji: The Unsung Warrior,7.5,Om Raut,"$21,500,000 (estimated)"
Kings Row,7.5,Sam Wood,
Queen Christina,7.5,Rouben Mamoulian,"$1,114,000 (estimated)"
Siworae,7.5,Hyun-seung Lee,"$2,500,000 (estimated)"
L'ami de mon amie,7.5,Éric Rohmer,
303,7.5,Hans Weingartner,
Long Day's Journey Into Night,7.5,Sidney Lumet,"$500,000 (estimated)"
'83,7.5,"Pritam Chakraborty, Kabir Khan, Amit Mishra",
Mersal,7.5,Atlee,
My Winnipeg,7.5,Guy Maddin,"$600,000 (estimated)"
Ansiktet,7.5,Ingmar Bergman,
A Day at the Races,7.5,Sam Wood,"$2,016,000 (estimated)"
Rurouni Kenshin: The Legend Ends,7.5,Keishi Otomo,
Claire's Knee,7.5,Éric Rohmer,
Maboroshi no hikari,7.5,Hirokazu Koreeda,
Detective Story,7.5,William Wyler,
Blancanieves,7.5,Pablo Berger,
Romancham,7.5,Jithu Madhavan,
The Tragedy of Othello: The Moor of Venice,7.5,Orson Welles,
La noche de 12 años,7.5,Álvaro Brechner,
De Marathon,7.5,Diederick Koopal,
Somebody Up There Likes Me,7.5,Robert Wise,"$1,920,000 (estimated)"
Varjoja paratiisissa,7.5,Aki Kaurismäki,
Shaadi Mein Zaroor Aana,7.5,Ratnaa Sinha,
Bullet in the Head,7.5,John Woo,"$3,500,000 (estimated)"
And Now for Something Completely Different,7.5,Ian MacNaughton,"$100,000 (estimated)"
Where to Invade Next,7.5,Michael Moore,
Saturday Night and Sunday Morning,7.5,Karel Reisz,"£100,000 (estimated)"
El ciudadano ilustre,7.5,"Mariano Cohn, Gastón Duprat",
Land and Freedom,7.5,Ken Loach,"£2,500,000 (estimated)"
Val (Duh),7.5,"Ting Poo, Leo Scott",
Elle s'appelait Sarah,7.5,Gilles Paquet-Brenner,"€10,000,000 (estimated)"
Lásky jedné plavovlásky,7.5,Milos Forman,
The Dresser,7.5,Peter Yates,"£1,456,000 (estimated)"
La danza de la realidad,7.5,Alejandro Jodorowsky,"$3,000,000 (estimated)"
Young Mr. Lincoln,7.5,John Ford,"$1,500,000 (estimated)"
Izgnanie,7.5,Andrey Zvyagintsev,
"Come Back, Little Sheba",7.5,Daniel Mann,
Wan pisu firumu: sutorongu warudo,7.5,Munehisa Sakai,
Swing Time,7.5,George Stevens,"$886,000 (estimated)"
Tous les matins du monde,7.5,Alain Corneau,
Jodhaa Akbar,7.5,Ashutosh Gowariker,"₹400,000,000 (estimated)"
Les invasions barbares,7.5,Denys Arcand,"CA$6,000,000 (estimated)"
Dupa dealuri,7.5,Cristian Mungiu,
Jusqu'à La Garde,7.5,Xavier Legrand,"€3,100,000 (estimated)"
Parched,7.5,Leena Yadav,"$2,700,000 (estimated)"
The Decline of Western Civilization,7.5,Penelope Spheeris,"$100,000 (estimated)"
The Roundabout,7.5,Max Ophüls,
E la nave va,7.5,Federico Fellini,
Una pura formalità,7.5,Giuseppe Tornatore,
Los lunes al sol,7.5,Fernando León de Aranoa,"$4,000,000 (estimated)"
Bab el hadid,7.5,Youssef Chahine,
Becoming Warren Buffett,7.5,Peter W. Kunhardt,
A Touch of Zen,7.5,King Hu,
Kirikou et la sorcière,7.5,"Michel Ocelot, Raymond Burlet","€3,800,000 (estimated)"
Rehnaa Hai Terre Dil Mein,7.5,Gautham Vasudev Menon,
Qingshaonian Nuozha,7.5,Tsai Ming-liang,
Dôruzu,7.5,Takeshi Kitano,
Horse Feathers,7.5,Norman Z. McLeod,
Thieves' Highway,7.5,Jules Dassin,
Taxi to the Dark Side,7.5,Alex Gibney,"$1,000,000 (estimated)"
Une Affaire De Femmes,7.5,Claude Chabrol,
Dhamaal,7.5,Indra Kumar,
Endless Poetry,7.5,Alejandro Jodorowsky,
Armadillo,7.5,Janus Metz,"$1,500,000 (estimated)"
L'enfant sauvage,7.5,François Truffaut,
The Loneliness of the Long Distance Runner,7.5,Tony Richardson,
Yoru wa mijikashi aruke yo otome,7.5,Masaaki Yuasa,
Le vieux fusil,7.5,Robert Enrico,
Le concert,7.5,Radu Mihaileanu,
Tekkon kinkurîto,7.5,"Michael Arias, Hiroaki Andô","$4,200,000 (estimated)"
Lucifer,7.5,Prithviraj Sukumaran,"₹300,000,000 (estimated)"
Dum Laga Ke Haisha,7.5,Sharat Katariya,
One Child Nation,7.5,"Nanfu Wang, Jialing Zhang",
Birds of Passage,7.5,"Cristina Gallego, Ciro Guerra",
The Scarlet Empress,7.5,Josef von Sternberg,"$900,000 (estimated)"
Saraband,7.5,Ingmar Bergman,
Amazing Grace,7.5,"Alan Elliott, Sydney Pollack",
Yazgi,7.5,Zeki Demirkubuz,
Secret,7.5,Jay Chou,
Sommarlek,7.5,Ingmar Bergman,"SEK 434,000 (estimated)"
Wild River,7.5,Elia Kazan,"$1,595,000 (estimated)"
Rocket Singh: Salesman of the Year,7.5,Shimit Amin,
Monsieur Hire,7.5,Patrice Leconte,
Jolly LLB,7.5,Subhash Kapoor,
"Léon Morin, prêtre",7.5,Jean-Pierre Melville,
La bête humaine,7.5,Jean Renoir,
Fear City: A Family-Style Comedy,7.5,Alain Berbérian,
Failan,7.5,Hae-sung Song,
Sons of the Desert,7.5,William A. Seiter,
The Mission,7.5,Johnnie To,
Ansikte mot ansikte,7.5,Ingmar Bergman,
Wham,7.5,Chris Smith,
You Are the Apple of My Eye,7.6,Giddens Ko,"NT$50,000,000 (estimated)"
Le huitième jour,7.5,Jaco Van Dormael,"FRF 25,000,000 (estimated)"
Bikur Ha-Tizmoret,7.5,Eran Kolirin,
The Ghazi Attack,7.5,Sankalp Reddy,
Hacivat Karagöz Neden Öldürüldü?,7.5,Ezel Akay,"$3,500,000 (estimated)"
La peau douce,7.5,François Truffaut,
Kiler,7.5,Juliusz Machulski,
Zivot je cudo,7.5,Emir Kusturica,"$8,000,000 (estimated)"
Metallica: Some Kind of Monster,7.5,"Joe Berlinger, Bruce Sinofsky",
The Navigator,7.5,"Donald Crisp, Buster Keaton","$220,000 (estimated)"
A Room for Romeo Brass,7.5,Shane Meadows,
Ruang rak noi nid mahasan,7.5,Pen-Ek Ratanaruang,
Unutursam Fisilda,7.5,Çagan Irmak,
Stand by Me Doraemon 2,7.5,"Ryuichi Yagi, Takashi Yamazaki",
100 metros,7.5,Marcel Barrena,"€2,400,000 (estimated)"
Vavien,7.5,"Durul Taylan, Yagmur Taylan",
"Ano natsu, ichiban shizukana umi",7.5,Takeshi Kitano,
Il bidone,7.5,Federico Fellini,
Ek Hasina Thi,7.5,Sriram Raghavan,"₹80,000,000 (estimated)"
Ddongpari,7.5,Yang Ik-joon,
Bekas,7.5,Karzan Kader,"€2,000,000 (estimated)"
The Miracle of Morgan's Creek,7.5,Preston Sturges,
Le fils,7.5,"Jean-Pierre Dardenne, Luc Dardenne",
Survive Style 5+,7.5,Gen Sekiguchi,
Phas Gaye Re Obama,7.5,Subhash Kapoor,
The Inevitable Defeat of Mister & Pete,7.5,George Tillman Jr.,
Lootcase,7.5,Rajesh A Krishnan,
Oscar,7.5,Édouard Molinaro,
Maria Larssons eviga ögonblick,7.5,Jan Troell,"€4,773,906 (estimated)"
Hichki,7.5,Siddharth P Malhotra,"$2,000,000 (estimated)"
The Music Never Stopped,7.5,Jim Kohlberg,"$4,000,000 (estimated)"
The Docks of New York,7.5,Josef von Sternberg,
Jesus of Montreal,7.5,Denys Arcand,
Trapped,7.5,Vikramaditya Motwane,
Sai de ke · ba lai: Tai yang qi,7.5,Te-Sheng Wei,"$23,000,000 (estimated)"
Sivaji,7.5,S. Shankar,"₹600,000,000 (estimated)"
"Liza, a rókatündér",7.5,Károly Ujj Mészáros,"HUF 450,000,000 (estimated)"
The First Day of the Rest of Your Life,7.5,Rémi Bezançon,
Nannaku Prematho,7.5,Sukumar,"₹500,000,000 (estimated)"
Sharmaji Namkeen,7.5,Hitesh Bhatia,
Ma vie en rose,7.5,Alain Berliner,
Kozure Ôkami: Shinikazeni mukau ubaguruma,7.5,Kenji Misumi,
Arya 2,7.5,Sukumar,"₹210,000,000 (estimated)"
Bang Boom Bang - Ein todsicheres Ding,7.5,Peter Thorwarth,
La femme de l'aviateur,7.5,Éric Rohmer,
Kumaré,7.5,Vikram Gandhi,
Aleksandr Nevskiy,7.5,"Sergei Eisenstein, Dmitriy Vasilev",
Waar,7.5,Bilal Lashari,"PKR 180,000,000 (estimated)"
The Freshman,7.5,"Fred C. Newmeyer, Sam Taylor","$301,681 (estimated)"
Unfaithfully Yours,7.5,Preston Sturges,
"Fat, Sick & Nearly Dead",7.5,"Joe Cross, Kurt Engfehr","A$2,500,000 (estimated)"
Tang shan da di zhen,7.5,Xiaogang Feng,"$25,000,000 (estimated)"
Die Fremde,7.5,Feo Aladag,
African Cats,7.5,"Keith Scholey, Alastair Fothergill","$5,000,000 (estimated)"
The Boy and the World,7.5,Alê Abreu,
Bigger Stronger Faster*,7.5,Chris Bell,
Footlight Parade,7.5,Lloyd Bacon,"$703,000 (estimated)"
Feels Good Man,7.5,Arthur Jones,
Mosul,7.5,Daniel Gabriel,"$600,000 (estimated)"
Tiempo de valientes,7.5,Damián Szifron,
Kiborgy. Heroyi ne vmyrayut,7.5,Akhtem Seitablaev,"$1,700,000 (estimated)"
Behzat Ç.: Seni Kalbime Gömdüm,7.5,Serdar Akar,
Titli,7.5,Kanu Behl,
The Yacoubian Building,7.5,Marwan Hamed,"EGP 18,000,000 (estimated)"
Sai Yau Gei: Yut Gwong Bou Haap,7.5,Jeffrey Lau,
A Simple Life,7.5,Ann Hui,"CN¥30,000,000 (estimated)"
I Am Greta,7.5,Nathan Grossman,
Benim Dünyam,7.5,Ugur Yücel,
Troubled Water,7.5,Erik Poppe,"NOK 21,277,000 (estimated)"
Saand Ki Aankh,7.5,Tushar Hiranandani,
Chillar Party,7.5,"Vikas Bahl, Nitesh Tiwari",
Siya,7.5,Manish Mundra,
Welcome,7.5,Philippe Lioret,
Neram,7.5,Alphonse Puthren,
The White Diamond,7.5,Werner Herzog,"€1,000,000 (estimated)"
"Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr.",7.5,Errol Morris,
Ramprasad Ki Tehrvi,7.5,"Seema Pahwa, Sunny Mandavarra",
Uzun Hikâye,7.5,Osman Sinav,
Kuruthi,7.5,Manu Warrier,
Mustafa Hakkinda Hersey,7.5,Çagan Irmak,
Doua lozuri,7.5,Paul Negoescu,"€40,000 (estimated)"
Santouri,7.5,Dariush Mehrjui,
Kozure Ôkami: Oya no kokoro ko no kokoro,7.5,Buichi Saitô,
Pindam,7.5,Saikiran Reddy Daida,
Do Dooni Chaar,7.5,Habib Faisal,
Srimanthudu,7.5,Koratala Siva,
Voyna,7.5,Aleksey Balabanov,
Miyamoto Musashi kanketsuhen: kettô Ganryûjima,7.5,Hiroshi Inagaki,
Qiu Ju da guan si,7.5,Yimou Zhang,
Mim mesle madar,7.5,Rasool Mollagholi Poor,"IRR 4,000,000,000 (estimated)"
Excuse My French,7.5,"Amr Salama, Rami Gheit",
O chyom govoryat muzhchiny,7.5,Dmitriy Dyachenko,
Mutluluk,7.5,Abdullah Oguz,
Zero 2,7.5,Emilis Velyvis,"LTL 1,000,000 (estimated)"
Seethamma Vakitlo Sirimalle Chettu,7.5,Srikanth Addala,
La faute à Fidel!,7.5,Julie Gavras,
Dhaka Attack,7.5,Dipankar Dipon,
Writer Padmabhushan,7.5,Shanmukha Prasanth,
Mastaney,7.4,Sharan Art,"₹180,000,000 (estimated)"
The Yes Men Fix the World,7.5,"Andy Bichlbaum, Mike Bonanno, Kurt Engfehr",
Dashing Detective,7.5,Mysskin,"₹50,000,000 (estimated)"
Wheels,7.5,"Tim Gagliardo, Donavon Warren",
Leily Ba Man Ast,7.5,Kamal Tabrizi,
Outfoxed: Rupert Murdoch's War on Journalism,7.5,Robert Greenwald,"$200,000 (estimated)"
The Substance,7.4,Coralie Fargeat,"$17,500,000 (estimated)"
Malèna,7.4,Giuseppe Tornatore,
Nocturnal Animals,7.4,Tom Ford,"$22,500,000 (estimated)"
Predestination,7.4,"Michael Spierig, Peter Spierig","$5,100,000 (estimated)"
Scream,7.4,Wes Craven,"$14,000,000 (estimated)"
Dracula,7.4,Francis Ford Coppola,"$40,000,000 (estimated)"
The Zone of Interest,7.4,Jonathan Glazer,"$15,000,000 (estimated)"
Harry Potter and the Chamber of Secrets,7.4,Chris Columbus,"$100,000,000 (estimated)"
The Boy and the Heron,7.4,Hayao Miyazaki,
Spider-Man,7.4,Sam Raimi,"$139,000,000 (estimated)"
I Know Where I'm Going!,7.4,"Michael Powell, Emeric Pressburger","£200,000 (estimated)"
How to Train Your Dragon: The Hidden World,7.4,Dean DeBlois,"$129,000,000 (estimated)"
John Wick,7.4,Chad Stahelski,"$20,000,000 (estimated)"
Me Before You,7.4,Thea Sharrock,"$20,000,000 (estimated)"
Ready Player One,7.4,Steven Spielberg,"$175,000,000 (estimated)"
Frozen,7.4,"Chris Buck, Jennifer Lee","$150,000,000 (estimated)"
Palm Springs,7.4,Max Barbakow,
The Lighthouse,7.4,Robert Eggers,"$11,000,000 (estimated)"
"Crazy, Stupid, Love.",7.4,"Glenn Ficarra, John Requa","$50,000,000 (estimated)"
The Rocky Horror Picture Show,7.4,Jim Sharman,"$1,200,000 (estimated)"
Superman,7.4,Richard Donner,"$55,000,000 (estimated)"
Lady Bird,7.4,Greta Gerwig,"$10,000,000 (estimated)"
Nobody,7.4,Ilya Naishuller,"$16,000,000 (estimated)"
Spider-Man: Homecoming,7.4,Jon Watts,"$175,000,000 (estimated)"
The Nice Guys,7.4,Shane Black,"$50,000,000 (estimated)"
Juno,7.4,Jason Reitman,"$7,500,000 (estimated)"
Pirates of the Caribbean: Dead Man's Chest,7.4,Gore Verbinski,"$225,000,000 (estimated)"
A Nightmare on Elm Street,7.4,Wes Craven,"$1,800,000 (estimated)"
Zero Dark Thirty,7.4,Kathryn Bigelow,"$40,000,000 (estimated)"
Tár,7.4,Todd Field,"$25,000,000 (estimated)"
The Texas Chain Saw Massacre,7.4,Tobe Hooper,"$140,000 (estimated)"
Ordinary Angels,7.4,Jon Gunn,"$13,000,000 (estimated)"
Erin Brockovich,7.4,Steven Soderbergh,"$52,000,000 (estimated)"
Looper,7.4,Rian Johnson,"$30,000,000 (estimated)"
Blowup,7.4,Michelangelo Antonioni,"$1,800,000 (estimated)"
Beautiful Boy,7.4,Felix van Groeningen,"$25,000,000 (estimated)"
A History of Violence,7.4,David Cronenberg,"$32,000,000 (estimated)"
Carrie,7.4,Brian De Palma,"$1,800,000 (estimated)"
Uncut Gems,7.4,"Benny Safdie, Josh Safdie","$19,000,000 (estimated)"
Mission: Impossible - Ghost Protocol,7.4,Brad Bird,"$145,000,000 (estimated)"
Terms of Endearment,7.4,James L. Brooks,"$8,000,000 (estimated)"
National Lampoon's Animal House,7.4,John Landis,"$3,000,000 (estimated)"
Cloud Atlas,7.4,"Tom Tykwer, Lana Wachowski, Lilly Wachowski","$102,000,000 (estimated)"
Shang-Chi and the Legend of the Ten Rings,7.4,Destin Daniel Cretton,"$200,000,000 (estimated)"
The Hobbit: The Battle of the Five Armies,7.4,Peter Jackson,"$250,000,000 (estimated)"
X2,7.4,Bryan Singer,"$110,000,000 (estimated)"
Air,7.4,Ben Affleck,"$90,000,000 (estimated)"
Mission: Impossible - Rogue Nation,7.4,Christopher McQuarrie,"$150,000,000 (estimated)"
Galaxy Quest,7.4,Dean Parisot,"$45,000,000 (estimated)"
Dìdi,7.4,Sean Wang,
Mud,7.4,Jeff Nichols,"$10,000,000 (estimated)"
John Wick: Chapter 3 - Parabellum,7.4,Chad Stahelski,"$75,000,000 (estimated)"
Moonlight,7.4,Barry Jenkins,"$4,000,000 (estimated)"
The Rock,7.4,Michael Bay,"$75,000,000 (estimated)"
The English Patient,7.4,Anthony Minghella,"$27,000,000 (estimated)"
Jacob's Ladder,7.4,Adrian Lyne,"$25,000,000 (estimated)"
Darkest Hour,7.4,Joe Wright,"$30,000,000 (estimated)"
Spider-Man: Far from Home,7.4,Jon Watts,"$160,000,000 (estimated)"
Tyuhvhj,7.4,Robert Altman,"$3,500,000 (estimated)"
The Talented Mr. Ripley,7.4,Anthony Minghella,"$40,000,000 (estimated)"
Shrek 2,7.4,"Andrew Adamson, Kelly Asbury, Conrad Vernon","$150,000,000 (estimated)"
John Wick: Chapter 2,7.4,Chad Stahelski,"$40,000,000 (estimated)"
Law Abiding Citizen,7.4,F. Gary Gray,"$50,000,000 (estimated)"
The Evil Dead,7.4,Sam Raimi,"$350,000 (estimated)"
The Terminal,7.4,Steven Spielberg,"$60,000,000 (estimated)"
Corpse Bride,7.4,"Tim Burton, Mike Johnson","$40,000,000 (estimated)"
Limitless,7.4,Neil Burger,"$27,000,000 (estimated)"
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,7.4,Larry Charles,"$18,000,000 (estimated)"
Beverly Hills Cop,7.4,Martin Brest,"$13,000,000 (estimated)"
Downtown Abbey,7.4,Michael Engler,"$13,000,000 (estimated)"
Bullitt,7.4,Peter Yates,"$5,500,000 (estimated)"
The Taste of Things,7.4,Anh Hung Tran,
Molly's Game,7.4,Aaron Sorkin,"$30,000,000 (estimated)"
American Graffiti,7.4,George Lucas,"$750,000 (estimated)"
The Judge,7.4,David Dobkin,"$50,000,000 (estimated)"
The Emperor's New Groove,7.4,Mark Dindal,"$100,000,000 (estimated)"
Back to the Future Part III,7.4,Robert Zemeckis,"$40,000,000 (estimated)"
Phantom Thread,7.4,Paul Thomas Anderson,"$35,000,000 (estimated)"
Luca,7.4,Enrico Casarosa,
Gokseong,7.4,Na Hong-jin,"$6,420,000 (estimated)"
Witness,7.4,Peter Weir,"$12,000,000 (estimated)"
Tootsie,7.4,Sydney Pollack,"$21,000,000 (estimated)"
Eighth Year,7.4,Bo Burnham,"$2,000,000 (estimated)"
Gi-eok-ui Bam,7.4,Jang Hang-jun,"MVR 400,000,000 (estimated)"
Downton Abbey 2,7.4,Simon Curtis,"$40,000,000 (estimated)"
De Rouille Et D'os,7.4,Jacques Audiard,"€15,550,182 (estimated)"
Minari,7.4,Lee Isaac Chung,"$2,000,000 (estimated)"
Tetris,7.4,Jon S. Baird,"$80,000,000 (estimated)"
Mid90s,7.4,Jonah Hill,"$1,700,000 (estimated)"
Oliver!,7.4,Carol Reed,"$10,000,000 (estimated)"
Invasion of the Body Snatchers,7.4,Philip Kaufman,"$3,500,000 (estimated)"
