country,code,region,economic_quality,living_conditions
Trinidad and Tobago,TTO,North America,70.0,55.0
Jamaica,JAM,North America,91.0,71.0
Argentina,ARG,South America,118.0,56.0
Peru,PER,South America,62.0,99.0
Kuwait,KWT,Asia,51.0,42.0
Armenia,ARM,Asia,83.0,76.0
Bahrain,BHR,Asia,56.0,45.0
Indonesia,IDN,Asia,58.0,98.0
Thailand,THA,Asia,40.0,69.0
Albania,ALB,Europe,101.0,80.0
Brazil,BRA,South America,81.0,57.0
Oman,OMN,Asia,63.0,67.0
Dominican Republic,DOM,North America,66.0,88.0
Kazakhstan,KAZ,Asia,38.0,53.0
Moldova,MDA,Europe,93.0,62.0
Mexico,MEX,North America,49.0,86.0
Bosnia and Herzegovina,BIH,Europe,75.0,49.0
Vietnam,VNM,Asia,48.0,92.0
Ukraine,UKR,Europe,77.0,74.0
South Africa,ZAF,Africa,74.0,102.0
Paraguay,PRY,South America,84.0,82.0
Russia,RUS,Europe,41.0,68.0
Belarus,BLR,Europe,45.0,43.0
Saudi Arabia,SAU,Asia,55.0,75.0
Colombia,COL,South America,85.0,89.0
Suriname,SUR,South America,108.0,72.0
Botswana,BWA,Africa,57.0,114.0
Philippines,PHL,Asia,53.0,109.0
Ecuador,ECU,South America,114.0,97.0
Jordan,JOR,Asia,121.0,61.0
Mongolia,MNG,Asia,80.0,107.0
Guyana,GUY,South America,64.0,85.0
Namibia,NAM,Africa,133.0,122.0
Sri Lanka,LKA,Asia,128.0,104.0
Azerbaijan,AZE,Asia,65.0,65.0
Kyrgyzstan,KGZ,Asia,88.0,84.0
Turkey,TUR,Asia,71.0,59.0
Morocco,MAR,Africa,95.0,95.0
El Salvador,SLV,North America,107.0,90.0
Ghana,GHA,Africa,134.0,115.0
Tunisia,TUN,Africa,111.0,73.0
Uzbekistan,UZB,Asia,79.0,103.0
Guatemala,GTM,North America,76.0,113.0
Senegal,SEN,Africa,122.0,117.0
India,IND,Asia,89.0,125.0
Cuba,CUB,North America,131.0,77.0
Honduras,HND,North America,100.0,111.0
Bolivia,BOL,South America,139.0,101.0
Turkmenistan,TKM,Asia,67.0,66.0
Kenya,KEN,Africa,98.0,131.0
Algeria,DZA,Africa,132.0,70.0
Nepal,NPL,Asia,102.0,123.0
Rwanda,RWA,Africa,87.0,147.0
Lebanon,LBN,Asia,161.0,83.0
Tajikistan,TJK,Asia,109.0,105.0
Nicaragua,NIC,North America,116.0,110.0
Laos,LAO,Asia,97.0,120.0
Tanzania,TZA,Africa,96.0,137.0
Cambodia,KHM,Asia,68.0,127.0
Gabon,GAB,Africa,113.0,108.0
Egypt,EGY,Africa,136.0,93.0
Djibouti,DJI,Africa,104.0,118.0
Benin,BEN,Africa,110.0,143.0
Bangladesh,BGD,Asia,103.0,121.0
Malawi,MWI,Africa,147.0,155.0
Iran,IRN,Asia,138.0,81.0
Zambia,ZMB,Africa,162.0,150.0
Comoros,COM,Africa,155.0,134.0
Uganda,UGA,Africa,117.0,140.0
Papua New Guinea,PNG,Oceania,126.0,158.0
Equatorial Guinea,GNQ,Africa,94.0,116.0
Lesotho,LSO,Africa,137.0,142.0
Togo,TGO,Africa,140.0,141.0
Eswatini,SWZ,Africa,106.0,126.0
Burkina Faso,BFA,Africa,125.0,152.0
Pakistan,PAK,Asia,129.0,119.0
Madagascar,MDG,Africa,143.0,164.0
Liberia,LBR,Africa,149.0,145.0
Zimbabwe,ZWE,Africa,145.0,139.0
Iraq,IRQ,Asia,105.0,87.0
Guinea,GIN,Africa,154.0,151.0
Nigeria,NGA,Africa,146.0,132.0
Myanmar,MMR,Asia,142.0,130.0
Sierra Leone,SLE,Africa,157.0,156.0
Venezuela,VEN,South America,166.0,96.0
Libya,LBY,Africa,99.0,94.0
Cameroon,CMR,Africa,112.0,135.0
Congo,COG,Africa,151.0,133.0
Mozambique,MOZ,Africa,158.0,157.0
Mali,MLI,Africa,119.0,136.0
Niger,NER,Africa,124.0,160.0
Ethiopia,ETH,Africa,115.0,146.0
Mauritania,MRT,Africa,135.0,124.0
Angola,AGO,Africa,120.0,144.0
Haiti,HTI,North America,144.0,149.0
Burundi,BDI,Africa,163.0,165.0
Sudan,SDN,Africa,167.0,138.0
Syria,SYR,Asia,148.0,106.0
Eritrea,ERI,Africa,156.0,162.0
Chad,TCD,Africa,141.0,161.0
Somalia,SOM,Africa,165.0,159.0
Afghanistan,AFG,Asia,152.0,153.0
Central African Republic,CAF,Africa,130.0,167.0
Yemen,YEM,Asia,164.0,148.0
South Sudan,SSD,Africa,160.0,166.0
