Title,Average Rating,Worldwide Gross
"Monsters, Inc.",8.1,"$579,770,299"
Before Sunrise,8.1,"$6,568,101"
"Lock, Stock and Two Smoking Barrels",8.1,"$3,753,929"
Les diaboliques,8.1,"$12,498"
In the Mood for Love,8.1,"$15,064,528"
Barry Lyndon,8.1,"$279,084"
Portrait of a Lady on Fire,8.1,"$10,019,521"
Raging Bull,8.1,"$23,405,198"
Ben-Hur,8.1,"$74,439,321"
Relatos Salvajes,8.1,"$31,478,893"
Gran Torino,8.1,"$269,958,228"
Eiga Koe No Katachi,8.1,"$30,504,476"
Room,8.1,"$35,402,766"
La haine,8.1,"$755,409"
The Third Man,8.1,"$1,406,393"
My Neighbour Totoro,8.1,"$30,331,056"
The Iron Giant,8.1,"$23,337,631"
What Is a Woman?,8.1,
Hachi: A Dog's Tale,8.1,"$46,749,646"
In the Name of the Father,8.1,"$65,796,862"
Det Sjunde Inseglet,8.1,"$311,212"
Before Sunset,8.1,"$16,505,440"
On the Waterfront,8.1,"$3,768"
Network,8.1,"$23,701,317"
Scrooge,8.1,$24
Rebecca,8.1,"$113,328"
The Red Shoes,8.1,"$171,546"
Mary and Max,8.1,"$1,740,791"
The Best Years of Our Lives,8.1,"$23,667,133"
The Bridge on the River Kwai,8.1,"$27,200,530"
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",8.1,"$1,563,523"
Hotel Rwanda,8.1,"$33,882,243"
The Man Who Shot Liberty Valance,8.1,
The Miracle Worker,8.1,"$4,139"
Fanny Och Alexander,8.1,"$6,813,882"
It Happened One Night,8.1,"$16,993"
All Quiet on the Western Front,8.1,
Paper Moon,8.1,$591
The Grapes of Wrath,8.1,"$7,304"
PK,8.1,"$100,370,104"
Trois Couleurs: Rouge,8.1,"$3,634,446"
La battaglia di Algeri,8.1,"$962,002"
Free Solo,8.1,"$29,390,279"
Le Salaire De La Peur,8.1,"$1,098"
Smultronstället,8.1,"$81,070"
Tokyo Story,8.1,"$92,310"
White Heat,8.1,"$5,534"
Mr. Smith Goes to Washington,8.1,"$146,123"
Bajrangi Bhaijaan,8.1,"$121,126,188"
Yi Yi,8.1,"$1,196,218"
Ba wang bie ji,8.1,"$7,447,084"
Z,8.1,"$83,305"
The Last Waltz,8.1,"$360,705"
La passion de Jeanne d'Arc,8.1,"$22,731"
My Octopus Teacher,8.1,
Blackfish,8.1,"$2,303,417"
Sholay,8.1,
Mohammed Messenger of God,8.1,
Nae Meorisokui Jiwoogae,8.1,"$20,865,847"
To Be or Not to Be,8.1,"$4,578,000"
Inherit the Wind,8.1,
Ace in the Hole,8.1,"$2,300,000"
Army of Shadows,8.1,"$928,632"
Sunrise: A Song of Two Humans,8.1,"$121,848"
Barfi!,8.1,"$4,490,134"
Ookami Kodomo No Ame to Yuki,8.1,"$55,003,886"
The General,8.1,$612
Munna Bhai M.B.B.S.,8.1,"$3,137,716"
Lagaan: Once Upon a Time in India,8.1,"$1,724,806"
OMG: Oh My God!,8.1,"$12,140,087"
The First Slam Dunk,8.1,"$158,302,288"
Le notti di Cabiria,8.1,"$770,764"
The Gold Rush,8.1,"$31,490"
Miracle in Cell No.7,8.1,"$82,101,723"
Höstsonaten,8.1,"$39,031"
Where Is the Friend's House?,8.1,"$14,413"
The Twilight Samurai,8.1,"$7,372,769"
A Wednesday,8.1,"$3,256,911"
Masaan,8.1,"$651,748"
Dom za vesanje,8.1,
Faust,8.1,
Krótki film o milosci,8.1,
The Grand Illusion,8.1,"$21,840"
Still,8.1,
Raise the Red Lantern,8.1,"$2,603,061"
A Special Day,8.1,
Apollo 11,8.1,"$15,343,649"
The Heiress,8.1,$158
Woodstock,8.1,"$321,295"
Ugetsu monogatari,8.1,"$24,959"
Du rififi chez les hommes,8.1,"$521,342"
Farha,8.1,$703
Masumiyet,8.1,
Mandariinid,8.1,"$1,024,132"
Jean de Florette,8.1,"$4,940,939"
Dada,8.1,"$22,125"
The Dawn Wall,8.1,"$1,445,519"
Dil Chahta Hai,8.1,"$316,221"
Hearts of Darkness: A Filmmaker's Apocalypse,8.1,"$1,318,849"
Die Nibelungen: Siegfried,8.1,
Hridayam,8.1,"$1,740,483"
Eskiya,8.1,"$39,586"
Colectiv,8.1,"$200,041"
Viridiana,8.1,"$15,522"
Rang-e khoda,8.1,"$2,777,552"
George Harrison: Living in the Material World,8.1,"$156,113"
The Fog of War: Eleven Lessons from the Life of Robert S. McNamara,8.1,"$5,038,841"
Chak De! India,8.1,"$21,505,244"
Major,8.1,"$4,961,424"
Safety Last!,8.1,
The Circus,8.1,"$31,718"
Thuppakki,8.1,"$2,130,470"
Section 375,8.1,"$129,916"
Talvar,8.1,"$6,879,098"
The Tashkent Files,8.1,"$71,369"
Queen,8.1,"$502,391"
Rang De Basanti,8.1,"$10,800,778"
Seaspiracy,8.1,
Tian mi mi,8.1,"$17,676"
Cowsperacy the Sustainability Secret,8.1,
Gargi,8.1,"$366,674"
Kahaani,8.1,"$459,234"
Kiss the Ground,8.1,
Valley Uprising,8.1,
Tokyo Twilight,8.1,"$4,461"
The Crowd,8.1,
Pelísky,8.1,"$2,227,953"
Article 15,8.1,"$734,514"
Virunga,8.1,
For All Mankind,8.1,"$770,366"
Listen to Me Marlon,8.1,"$516,337"
Vredens Dag,8.1,
Early Summer,8.1,
Kaththi,8.1,"$674,359"
Black,8.1,"$1,266,341"
Asef ala el-Izag,8.1,"$1,449,695"
Her Sey Çok Güzel Olacak,8.1,"$52,102"
The Bee Gees: How Can You Mend a Broken Heart,8.1,"$280,367"
Udaan,8.1,"$434,862"
Saikaku ichidai onna,8.1,"$6,921"
Nayattu,8.1,"$185,586"
Dara iz Jasenovca,8.1,"$52,786"
Anand,8.1,
Yang guang can lan de ri zi,8.1,
Pardon,8.1,"$405,002"
"Montevideo, Bog te video!",8.1,"$2,192,931"
Dzien swira,8.1,"$1,277,521"
Evaru,8.1,"$62,744"
Bombay,8.1,
Thadam,8.1,"$96,878"
Traffic,8.1,
Thondi Muthalum Driksakshiyum,8.1,"$803,887"
Baishe Srabon,8.1,
Mimino,8.1,
Sarfarosh,8.1,"$288,733"
Roja,8.1,
Mughal-E-Azam,8.1,"$161,434"
