"game_id","first","time_control_name","game_end_reason","winner","created_at","last_update","type","game_request.lexicon","game_request.initial_time_seconds","game_request.increment_seconds","game_request.challenge_rule","game_request.game_mode","game_request.rating_mode","game_request.max_overtime_minutes","game_request.player_vs_bot","game_request.bot_type","game_request.rules.board_layout_name","game_request.rules.letter_distribution_name","game_request.rules.variant_name"
"PVjHn4vo","BasicBot","rapid","STANDARD",1,"2024-04-13T10:29:24.167995Z","2024-04-13T10:36:43.642668Z","NATIVE","CSW21",600,0,"VOID","REAL_TIME","RATED",2,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"TUUo6R3H","BasicBot","regular","STANDARD",0,"2024-04-13T10:27:22.461130Z","2024-04-13T10:49:21.913556Z","NATIVE","RD28",1800,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_PROBABILISTIC","CrosswordGame","german",""
"KsejjfEB","BasicBot","rapid","TIME",0,"2024-04-13T10:26:55.743452Z","2024-04-13T10:40:58.959556Z","NATIVE","CSW21",780,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"PVfy2nA8","spurious","regular","STANDARD",0,"2024-04-13T10:25:08.415843Z","2024-04-13T10:46:50.601434Z","NATIVE","NWL23",1500,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"oR8frx5L","BasicBot","regular","TIME",0,"2024-04-13T10:22:10.653960Z","2024-04-13T10:43:15.029527Z","NATIVE","CSW21",1200,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"7UApCH3v","BasicBot","regular","STANDARD",0,"2024-04-13T10:20:50.257955Z","2024-04-13T10:32:39.549959Z","NATIVE","CSW21",1500,0,"FIVE_POINT","REAL_TIME","RATED",10,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"gXbKmKd2","amoghies","regular","TIME",1,"2024-04-13T10:16:48.703457Z","2024-04-13T10:37:59.616337Z","NATIVE","CSW21",1200,0,"VOID","REAL_TIME","CASUAL",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"iP969B68","Glilac","regular","STANDARD",0,"2024-04-13T10:11:58.463094Z","2024-04-13T10:23:00.542755Z","NATIVE","CSW21",1800,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"qtVtMeVG","Kobbegala","regular","STANDARD",1,"2024-04-13T10:11:56.042735Z","2024-04-13T10:19:06.839463Z","NATIVE","CSW21",1200,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"Uv4XzUxK","cookietime","rapid","STANDARD",1,"2024-04-13T10:11:54.706092Z","2024-04-13T10:24:21.808629Z","NATIVE","CSW21",780,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"4RNETipp","eliza712","regular","STANDARD",1,"2024-04-13T10:10:47.323172Z","2024-04-13T10:20:13.761330Z","NATIVE","CSW21",1500,0,"FIVE_POINT","REAL_TIME","RATED",10,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"UzyzEaGp","cheechako","regular","TIME",1,"2024-04-13T10:09:51.800333Z","2024-04-13T10:35:59.615614Z","NATIVE","NWL23",1500,0,"VOID","REAL_TIME","CASUAL",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"isvjVTno","BasicBot","regular","STANDARD",0,"2024-04-13T10:09:44.256678Z","2024-04-13T10:16:38.579229Z","NATIVE","CSW21",1200,0,"VOID","REAL_TIME","CASUAL",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
