title,genre,release_date
Wild Strawberries,Drama,1957-12-26
Alien,"Horror,Science Fiction",1979-05-25
Paper Lives,Drama,2021-03-12
The Invisible Guest,"Drama,Mystery,Thriller",2017-01-06
"Paris, Texas",Drama,1984-08-23
How to Train Your Dragon: Homecoming,"Animation,Fantasy,Adventure,Action,Family",2019-10-25
Dersu Uzala,"Action,Adventure,Drama",1975-08-02
Pather Panchali,Drama,1955-08-26
The Tale of The Princess Kaguya,"Animation,Drama,Fantasy",2013-11-23
Anne of Green Gables,"Family,Drama",1985-12-01
Harry Potter and the Deathly Hallows: Part 2,"Fantasy,Adventure",2011-07-07
Michael Jackson's Thriller,"Horror,Music",1983-11-14
Big Deal on Madonna Street,"Comedy,Crime",1958-07-26
The Truman Show,"Comedy,Drama",1998-06-04
Red Beard,Drama,1965-04-03
M,"Drama,Action,Thriller,Crime",1931-05-11
Believe Me: The Abduction of Lisa McVey,"Drama,TV Movie",2018-09-30
In the Mood for Love,"Drama,Romance",2000-09-29
Incendies,"Drama,War,Mystery",2010-09-04
A Special Day,"Drama,Romance",1977-08-11
I corti,Comedy,1996-01-01
There Will Be Blood,Drama,2007-12-26
Hannah Gadsby: Nanette,Comedy,2018-06-19
Eternal Sunshine of the Spotless Mind,"Science Fiction,Drama,Romance",2004-03-19
Straight Outta Nowhere: Scooby-Doo! Meets Courage the Cowardly Dog,"Animation,Comedy,Mystery,Family,Fantasy",2021-09-14
The Hunt,Drama,2012-10-25
"Three Billboards Outside Ebbing, Missouri","Crime,Drama",2017-12-01
Lion,Drama,2016-01-20
In the Arms of an Assassin,"Romance,Thriller",2019-12-06
Ugetsu,"Fantasy,Drama,Mystery",1953-03-26
Kitbull,"Animation,Family,Drama",2019-01-18
The Best of Youth,"Drama,History,Romance",2003-06-22
"Toto, Peppino, and the Hussy","Comedy,Romance",1956-08-23
The Passion of Joan of Arc,"Drama,History",1928-04-21
The 400 Blows,Drama,1959-06-03
Scooby-Doo! and Kiss: Rock and Roll Mystery,"Family,Animation,Comedy",2015-07-10
La Haine,Drama,1995-05-31
"Love, Simon","Comedy,Drama,Romance",2018-02-16
Das Boot,"Drama,History,War",1981-09-17
Pride & Prejudice,"Drama,Romance",2005-09-16
The Elephant Man,"Drama,History",1980-10-09
Mirror,"Drama,History",1975-03-07
A Taxi Driver,"Action,Drama,History",2017-08-02
Silenced,Drama,2011-09-22
Ran,"Action,Drama,History",1985-06-01
2001: A Space Odyssey,"Science Fiction,Mystery,Adventure",1968-04-02
Jojo Rabbit,"Comedy,War,Drama",2019-10-18
Bound by Honor,"Crime,Action,Drama,Thriller",1993-02-05
Terminator 2: Judgment Day,"Action,Thriller,Science Fiction",1991-07-03
Doctor Who: The Time of the Doctor,"Drama,Science Fiction,TV Movie",2013-12-25
